symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
MOH,2024-12-31,291.05,57400000,16706270000,4662000000,3118000000,15162270000
MOH,2023-12-31,361.31,58100000,20992111000,4848000000,2385000000,18529111000
MOH,2022-12-31,330.22,57800000,19086716000,4006000000,2391000000,17471716000
MOH,2021-12-31,318.08,57800000,18385024000,4438000000,2392000000,16339024000
MOH,2020-12-31,212.68,59000000,12548120000,4154000000,2352000000,10746120000
MOH,2019-12-31,135.69,62200000,8439918000,2452000000,1486000000,7473918000
MOH,2018-12-31,116.22,66635249,7744348638,2826000000,1458000000,6376348638
MOH,2017-12-31,76.68,56000000,4294080000,3186000000,2169000000,3277080000
MOH,2016-12-31,54.26,55000000,2984300000,2819000000,1645000000,1810300000
MOH,2015-12-31,60.13,52000000,3126760000,2329000000,1609000000,2406760000
MOH,2014-12-31,53.53,47000000,2515910000,1539000000,887341000,1864251000
MOH,2013-12-31,34.75,46000000,1598500000,935895000,784862000,1447467000
MOH,2012-12-31,27.06,46380000,1255042800,795770000,262939000,722211800
MOH,2011-12-31,22.33,45756000,1021731479,493827000,218126000,746030479
MOH,2010-12-31,18.57,41174000,764465305,455886000,188663000,497242305
MOH,2009-12-31,15.25,38976000,594255379,469501000,184355000,309109379
MOH,2008-12-31,11.74,41658000,489064920,387162000,192240000,294142920
MOH,2007-12-31,25.8,42412500,1094242500,459064000,229240000,864418500
MOH,2006-12-31,21.67,41949000,909173261,403650000,45000000,550523261
MOH,2005-12-31,17.76,41566500,738221040,249203000,0,489018040
MOH,2004-12-31,30.92,40447500,1250636700,228071000,1894000,1024459700
MOH,2003-12-31,16.82,33336000,560711520,141850000,0,418861520
MOH,2002-12-31,13.33,30000000,400000200,139300000,3350000,264050200
MOH,2001-12-31,13.33,30000000,400000200,102750000,3401000,300651200
MOH,2000-12-31,13.33,30000000,400000200,45785000,0,354215200
MOH,1999-12-31,13.33,30000000,400000200,26120000,17296000,391176200
