symbol,date,marketCap
NCLH,2026-01-02,10273710634
NCLH,2025-12-31,10066252035
NCLH,2025-12-30,10115861700
NCLH,2025-12-29,10106841761
NCLH,2025-12-26,10287240543
NCLH,2025-12-24,10449599447
NCLH,2025-12-23,10422539630
NCLH,2025-12-22,10945696097
NCLH,2025-12-19,10390969843
NCLH,2025-12-18,9755064136
NCLH,2025-12-17,9714474410
NCLH,2025-12-16,9714474410
NCLH,2025-12-15,9764084075
NCLH,2025-12-12,9407796481
NCLH,2025-12-11,9267987425
NCLH,2025-12-10,8677181414
NCLH,2025-12-09,8442662997
NCLH,2025-12-08,8618551810
NCLH,2025-12-05,8532862388
NCLH,2025-12-04,8478742754
NCLH,2025-12-03,8492272662
NCLH,2025-12-02,8311873880
NCLH,2025-12-01,8375013454
NCLH,2025-11-28,8325403789
NCLH,2025-11-26,8266774185
NCLH,2025-11-25,8275794124
NCLH,2025-11-24,8005195951
NCLH,2025-11-21,8208144581
NCLH,2025-11-20,7892446712
NCLH,2025-11-19,8018725859
NCLH,2025-11-18,8045785677
NCLH,2025-11-17,7905976621
NCLH,2025-11-14,8248734306
NCLH,2025-11-13,8370503484
NCLH,2025-11-12,8541882327
NCLH,2025-11-11,8487762693
NCLH,2025-11-10,8586982023
NCLH,2025-11-07,8600511931
NCLH,2025-11-06,8226184459
NCLH,2025-11-05,8393053332
NCLH,2025-11-04,8474232784
NCLH,2025-11-03,10003112461
NCLH,2025-10-31,10111351731
NCLH,2025-10-30,9863058040
NCLH,2025-10-29,9863058040
NCLH,2025-10-28,9920762700
NCLH,2025-10-27,10435665820
NCLH,2025-10-24,10417910540
NCLH,2025-10-23,10422349360
NCLH,2025-10-22,10488931660
NCLH,2025-10-21,10617657440
NCLH,2025-10-20,10320256500
NCLH,2025-10-17,10182653080
NCLH,2025-10-16,10142703700
NCLH,2025-10-15,10466737560
NCLH,2025-10-14,10542197500
NCLH,2025-10-13,10227041280
NCLH,2025-10-10,9965150900
NCLH,2025-10-09,10338011780
NCLH,2025-10-08,10511125760
NCLH,2025-10-07,10608779800
NCLH,2025-10-06,10697556200
NCLH,2025-10-03,10795210240
NCLH,2025-10-02,10906180740
NCLH,2025-10-01,10737505580
NCLH,2025-09-30,10932813660
NCLH,2025-09-29,10986079500
NCLH,2025-09-26,11114805280
NCLH,2025-09-25,11097050000
NCLH,2025-09-24,11199142860
NCLH,2025-09-23,11350062740
NCLH,2025-09-22,11270163980
NCLH,2025-09-19,11199142860
NCLH,2025-09-18,11279041620
NCLH,2025-09-17,11265725160
NCLH,2025-09-16,11354501560
NCLH,2025-09-15,11545370820
NCLH,2025-09-12,11829455300
NCLH,2025-09-11,11958181080
NCLH,2025-09-10,11287919260
NCLH,2025-09-09,11261286340
NCLH,2025-09-08,10888425460
NCLH,2025-09-05,11390012120
NCLH,2025-09-04,11358940380
NCLH,2025-09-03,11247969880
NCLH,2025-09-02,10972763040
NCLH,2025-08-29,11026028880
NCLH,2025-08-28,11270163980
NCLH,2025-08-27,11043784160
NCLH,2025-08-26,10990518320
NCLH,2025-08-25,10937252480
NCLH,2025-08-22,11119244100
NCLH,2025-08-21,10369083520
NCLH,2025-08-20,10586585700
NCLH,2025-08-19,10844037260
NCLH,2025-08-18,10910619560
NCLH,2025-08-15,10786332600
NCLH,2025-08-14,10812965520
NCLH,2025-08-13,10990518320
NCLH,2025-08-12,10759699680
NCLH,2025-08-11,10533319860
NCLH,2025-08-08,10653168000
NCLH,2025-08-07,10861792540
NCLH,2025-08-06,11012712420
NCLH,2025-08-05,11097050000
NCLH,2025-08-04,11247969880
NCLH,2025-08-01,10875109000
NCLH,2025-07-31,11345623920
NCLH,2025-07-30,10386838800
NCLH,2025-07-29,10391277620
NCLH,2025-07-28,10599902160
NCLH,2025-07-25,10573269240
NCLH,2025-07-24,10431227000
NCLH,2025-07-23,10795210240
NCLH,2025-07-22,10475615200
NCLH,2025-07-21,10293623580
NCLH,2025-07-18,10471176380
NCLH,2025-07-17,10475615200
NCLH,2025-07-16,10231480100
NCLH,2025-07-15,10093876680
NCLH,2025-07-14,10329134140
NCLH,2025-07-11,10040610840
NCLH,2025-07-10,10275868300
NCLH,2025-07-09,9747648720
NCLH,2025-07-08,9605606480
NCLH,2025-07-07,9521268900
NCLH,2025-07-03,9756526360
NCLH,2025-07-02,9485758340
NCLH,2025-07-01,9312644360
NCLH,2025-06-30,9001926960
NCLH,2025-06-27,8957538760
NCLH,2025-06-26,8637943720
NCLH,2025-06-25,8442635640
NCLH,2025-06-24,8611310800
NCLH,2025-06-23,8256205200
NCLH,2025-06-20,8371614520
NCLH,2025-06-18,8162989980
NCLH,2025-06-17,8047580660
NCLH,2025-06-16,8234011100
NCLH,2025-06-13,7892221960
NCLH,2025-06-12,8309471039
NCLH,2025-06-11,8469268559
NCLH,2025-06-10,8762230680
NCLH,2025-06-09,8695648380
NCLH,2025-06-06,8682331920
NCLH,2025-06-05,8589116700
NCLH,2025-06-04,8167428799
NCLH,2025-06-03,8114162960
NCLH,2025-06-02,7843394940
NCLH,2025-05-30,7834517299
NCLH,2025-05-29,7812323200
NCLH,2025-05-28,7785690280
NCLH,2025-05-27,8029825380
NCLH,2025-05-23,7688036240
NCLH,2025-05-22,7741302080
NCLH,2025-05-21,7643648039
NCLH,2025-05-20,8065335940
NCLH,2025-05-19,8393808620
NCLH,2025-05-16,8553606140
NCLH,2025-05-15,8473707380
NCLH,2025-05-14,8629066080
NCLH,2025-05-13,8584677880
NCLH,2025-05-12,8500340299
NCLH,2025-05-09,7856711400
NCLH,2025-05-08,7936610160
NCLH,2025-05-07,7683597419
NCLH,2025-05-06,7665842140
NCLH,2025-05-05,7710230340
NCLH,2025-05-02,7710230340
NCLH,2025-05-01,7217521320
NCLH,2025-04-30,7115428460
NCLH,2025-04-29,7714669160
NCLH,2025-04-28,7741302080
NCLH,2025-04-25,7648086860
NCLH,2025-04-24,7612576299
NCLH,2025-04-23,7545994000
NCLH,2025-04-22,7372880020
NCLH,2025-04-21,7124306100
NCLH,2025-04-17,7270787160
NCLH,2025-04-16,7142061380
NCLH,2025-04-15,7239715419
NCLH,2025-04-14,7235276600
NCLH,2025-04-11,7244154240
NCLH,2025-04-10,7408390580
NCLH,2025-04-09,8162989980
NCLH,2025-04-08,6897926280
NCLH,2025-04-07,6880171000
NCLH,2025-04-04,6964508580
NCLH,2025-04-03,7239715419
NCLH,2025-04-02,8655699000
NCLH,2025-04-01,8460390919
NCLH,2025-03-31,8416002720
NCLH,2025-03-28,8447968611
NCLH,2025-03-27,8774417529
NCLH,2025-03-26,8919996100
NCLH,2025-03-25,9030282897
NCLH,2025-03-24,9127335278
NCLH,2025-03-21,8999402594
NCLH,2025-03-20,8862646966
NCLH,2025-03-19,8752360170
NCLH,2025-03-18,8412676837
NCLH,2025-03-17,8840589607
NCLH,2025-03-14,8465614499
NCLH,2025-03-13,8174457356
NCLH,2025-03-12,8386208005
NCLH,2025-03-11,8280332681
NCLH,2025-03-10,8267098265
NCLH,2025-03-07,8849412551
NCLH,2025-03-06,8822943720
NCLH,2025-03-05,9396435061
NCLH,2025-03-04,9321440040
NCLH,2025-03-03,9683180732
NCLH,2025-02-28,10022864065
NCLH,2025-02-27,10464011251
NCLH,2025-02-26,11050737009
NCLH,2025-02-25,10847809303
NCLH,2025-02-24,10962507572
NCLH,2025-02-21,10636058654
NCLH,2025-02-20,11328659736
NCLH,2025-02-19,11910974022
