date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,NOW,USD,0001373715,2025-01-30,2025-01-29 21:49:31,2024,FY,1425000000,564000000,98000000,1746000000,-65000000,-254000000,0,-52000000,241000000,499000000,4267000000,-852000000,-113000000,-5212000000,3752000000,-76000000,-2501000000,0,0,-696000000,0,-647000000,-1343000000,-17000000,406000000,2310000000,1904000000,4267000000,-852000000,3415000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/0001373715-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm
2023-12-31,NOW,USD,0001373715,2024-01-25,2024-01-25 16:59:25,2023,FY,1731000000,562000000,-857000000,1604000000,-101000000,-300000000,-27000000,-142000000,368000000,459000000,3398000000,-694000000,-279000000,-4709000000,3522000000,-7000000,-2167000000,0,0,-538000000,0,-265000000,-803000000,1000000,429000000,1904000000,1475000000,3398000000,-694000000,2704000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/0001373715-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm
2022-12-31,NOW,USD,0001373715,2023-01-31,2023-01-30 17:43:36,2022,FY,325000000,433000000,15000000,1401000000,174000000,-340000000,0,172000000,342000000,375000000,2723000000,-550000000,-91000000,-4205000000,2245000000,18000000,-2583000000,-94000000,0,0,0,-250000000,-344000000,-53000000,-257000000,1475000000,1732000000,2723000000,-550000000,2173000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/0001373715-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/now-20221231.htm
2021-12-31,NOW,USD,0001373715,2022-02-03,2022-02-03 17:07:54,2021,FY,230000000,472000000,-34000000,1131000000,58000000,-401000000,9000000,55000000,395000000,334000000,2191000000,-399000000,-785000000,-2556000000,2119000000,14000000,-1607000000,-61000000,0,0,0,-445000000,-506000000,-25000000,53000000,1732000000,1679000000,2191000000,-399000000,1792000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/now-20211231.htm
2020-12-31,NOW,USD,0001373715,2021-02-12,2021-02-11 19:17:55,2020,FY,118503000,336381000,-24481000,870000000,281474000,-151431000,120754000,-33583000,345734000,204269000,1786599000,-432517000,-107236000,-2933876000,1966757000,1328000,-1506872000,-146000000,0,0,0,743000000,597000000,25000000,901000000,1679000000,778000000,1786599000,-432517000,1354082000,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/0001373715-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/now-20201231.htm
2019-12-31,NOW,USD,0001373715,2020-02-20,2020-02-20 07:38:20,2019,FY,626698000,252114000,-575765000,662195000,78354000,-259835000,35190000,21355000,281644000,192376000,1235972000,-337581000,-7414000,-1595667000,1216185000,23435000,-724477000,0,0,0,0,-302000000,-302000000,0,209000000,778000000,569000000,1235972000,-337581000,898391000,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/0001373715-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/now-20191231x10kxinpro.htm
2018-12-31,NOW,USD,0001373715,2019-02-27,2019-02-27 08:09:32,2018,FY,-26704000,149604000,-34180000,543953000,140754000,-146148000,62185000,-4757000,229474000,37662000,811089000,-248862000,-37440000,-1295782000,1234662000,-85520000,-347422000,-430578000,0,0,0,-176850000,-607428000,-15530000,-159291000,568538000,727829000,811089000,-248862000,562227000,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/0001373715-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/now-20181231x10k.htm
2017-12-31,NOW,USD,0001373715,2017-12-31,2017-12-31 00:00:00,2017,FY,-149130000,113875000,-9078000,394078000,125329000,-98432000,22206000,-5504000,207059000,167751000,642825000,-157180000,-58203000,-1194261000,525696000,-675235000,-883948000,767209000,0,-55000000,0,-173317000,538892000,28013000,325897000,727829000,401932000,642825000,-157180000,485645000,,
2016-12-31,NOW,USD,0001373715,2017-02-28,2017-02-28 16:57:49,2016,FY,-451804000,83082000,-3424000,317580000,96229000,-125106000,61181000,-3554000,163708000,118258000,159921000,-128412000,-34297000,-519164000,569535000,-210000,-112548000,-2223000,0,0,0,-53529000,-55752000,-5945000,-10854000,401932000,412786000,159921000,-128412000,31509000,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/0001373715-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/now-20161231x10k.htm
2015-12-31,NOW,USD,0001373715,2016-02-25,2016-02-25 17:24:05,2015,FY,-198426000,60356000,-3945000,257713000,101914000,-50855000,22226000,14785000,115758000,97479000,315091000,-89231000,-1100000,-723282000,582092000,-222000,-231743000,-223000,0,0,0,80553000,80330000,-6513000,160050000,412786000,252736000,315091000,-89231000,225860000,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/0001373715-16-000324-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/now-20151231x10k.htm
2014-12-31,NOW,USD,0001373715,2015-02-27,2015-02-27 08:27:10,2014,FY,-179387000,42059000,-3235000,154319000,41200000,-56785000,-6845000,10223000,94607000,83944000,138900000,-54379000,-99813000,-521393000,358712000,-55000,-316928000,0,0,0,0,68735000,68735000,-6592000,-113848000,252455000,366303000,138900000,-54379000,84521000,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/0001373715-15-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/now-20141231x10k.htm
2013-12-31,NOW,USD,0001373715,2014-04-25,2014-04-25 16:42:12,2013,FY,-73708000,24152000,-1889000,65581000,29432000,-29506000,19728000,-252000,39462000,38178000,81746000,-55321000,-13330000,-570679000,236712000,-177000,-402795000,562941000,0,0,0,5629000,568570000,-207000,247314000,366303000,118989000,81746000,-55321000,26425000,https://www.sec.gov/Archives/edgar/data/1373715/000137371514000077/0001373715-14-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371514000077/now-20131231x10ka.htm
2012-12-31,NOW,USD,0001373715,2013-03-08,2013-03-08 15:20:11,2012,FY,-37348000,13506000,-2440000,27937000,29214000,-33341000,20411000,4887000,37257000,17897000,48766000,-42066000,0,-240626000,43498000,45000,-239149000,0,238193000,-1960000,0,5606000,241839000,-555000,50901000,118989000,68088000,48766000,-42066000,6700000,https://www.sec.gov/Archives/edgar/data/1373715/000137371513000004/0001373715-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371513000004/now-20121231x10k.htm
2011-06-30,NOW,USD,0001373715,2011-06-30,2011-06-30 00:00:00,2011,FY,9830000,1472000,-138000,0,19267000,-14762000,2566000,254000,31209000,4083000,37468000,-8733000,0,0,0,350000,-8383000,0,0,0,0,1227000,1227000,139000,30451000,59853000,29402000,37468000,-8733000,28735000,,
2010-06-30,NOW,USD,0001373715,2010-06-30,2010-06-30 00:00:00,2010,FY,-29705000,369000,766000,0,18304000,-5176000,4050000,912000,18518000,2189000,-7532000,-1584000,0,0,0,129000,-1455000,0,0,0,0,1227000,1227000,139000,30451000,59853000,29402000,-7532000,-1584000,-9116000,,
2009-06-30,NOW,USD,0001373715,2009-06-30,2009-06-29 20:00:00,2009,FY,-5900000,200000,0,0,5300000,0,0,0,0,600000,200000,-300000,0,0,0,-600000,-900000,0,0,-20814000,0,51486000,30672000,-71000,21614000,29402000,7788000,200000,-300000,-100000,,
