date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2026-01-02,7287.27,7388,7240,7278.87,7278.87,21600,21600,-8.4,-0.11527,7298.535,"January 02, 26",-0.0011527,,,,,
2025-12-31,7331.43,7391.64,7280,7292.77,7292.77,14800,14800,-38.66,-0.52732,7323.96,"December 31, 25",-0.0052732,,,,,
2025-12-30,7352.56,7365,7283.96,7327.2,7327.2,11700,11700,-25.36,-0.34491,7332.18,"December 30, 25",-0.0034491,,,,,
2025-12-29,7380,7420,7329.8,7355.26,7355.26,17200,17200,-24.74,-0.33523,7371.265,"December 29, 25",-0.0033523,,,,,
2025-12-26,7399.02,7426.24,7342.41,7382.16,7382.16,12361,12361,-16.86,-0.22787,7387.4575,"December 26, 25",-0.0022787,,,,,
2025-12-24,7309.24,7435,7301,7385.29,7385.29,10700,10700,76.05,1.04,7357.6325,"December 24, 25",0.0104,,,,,
2025-12-23,7439.98,7439.98,7266.78,7338.05,7338.05,19588,19588,-101.93,-1.37,7371.1975,"December 23, 25",-0.0137,,,,,
2025-12-22,7450,7495,7369.61,7397.07,7397.07,24475,24475,-52.93,-0.71047,7427.92,"December 22, 25",-0.0071047,,,,,
2025-12-19,7531.34,7596.46,7369,7399.71,7399.71,66254,66254,-131.63,-1.75,7474.1275,"December 19, 25",-0.0175,,,,,
2025-12-18,7581.68,7611.69,7496.02,7561.62,7561.62,30328,30328,-20.06,-0.26459,7562.7525,"December 18, 25",-0.0026459,,,,,
2025-12-17,7444.98,7605,7418.66,7472.55,7472.55,21100,21100,27.57,0.37032,7485.2975,"December 17, 25",0.0037032,,,,,
2025-12-16,7628.42,7655.02,7519.66,7530.24,7530.24,18800,18800,-98.18,-1.29,7583.335,"December 16, 25",-0.0129,,,,,
2025-12-15,7569.32,7632.35,7532.02,7632.35,7632.35,18300,18300,63.03,0.8327,7591.51,"December 15, 25",0.008327,,,,,
2025-12-12,7510,7589.84,7471.39,7517.81,7517.81,22331,22331,7.81,0.10399,7522.26,"December 12, 25",0.0010399,,,,,
2025-12-11,7541.68,7609.99,7480.18,7511.16,7511.16,17421,17421,-30.52,-0.40468,7535.7525,"December 11, 25",-0.0040468,,,,,
2025-12-10,7345,7525,7345,7504.37,7504.37,17100,17100,159.37,2.17,7429.8425,"December 10, 25",0.0217,,,,,
2025-12-09,7415.5,7458.42,7294.8,7318.29,7318.29,17538,17538,-97.21,-1.31,7371.7525,"December 09, 25",-0.0131,,,,,
2025-12-08,7501.19,7540.52,7435.88,7438.36,7438.36,20472,20472,-62.83,-0.8376,7478.9875,"December 08, 25",-0.008376,,,,,
2025-12-05,7473.42,7578.68,7473.42,7538.08,7538.08,16800,16800,64.66,0.8652,7515.9,"December 05, 25",0.008652,,,,,
2025-12-04,7644.95,7666.16,7483.62,7519.67,7519.67,20401,20401,-125.28,-1.64,7578.6,"December 04, 25",-0.0164,,,,,
2025-12-03,7648.01,7746.79,7628.04,7679.42,7679.42,23115,23115,31.41,0.4107,7675.565,"December 03, 25",0.004107,,,,,
2025-12-02,7563.28,7655,7517.09,7601.1,7601.1,23100,23100,37.82,0.50005,7584.1175,"December 02, 25",0.0050005,,,,,
2025-12-01,7450,7614.53,7450,7517.09,7517.09,17324,17324,67.09,0.90054,7507.905,"December 01, 25",0.0090054,,,,,
