symbol,date,marketCap
NXPI,2026-01-02,55800177600
NXPI,2025-12-31,54736020200
NXPI,2025-12-30,55472356600
NXPI,2025-12-29,55593398200
NXPI,2025-12-26,56201127900
NXPI,2025-12-24,56803814200
NXPI,2025-12-23,56985376600
NXPI,2025-12-22,57731799800
NXPI,2025-12-19,57058505900
NXPI,2025-12-18,56001913600
NXPI,2025-12-17,56291909100
NXPI,2025-12-16,57936057500
NXPI,2025-12-15,58460571100
NXPI,2025-12-12,57535107200
NXPI,2025-12-11,58460571100
NXPI,2025-12-10,58195792600
NXPI,2025-12-09,57507368500
NXPI,2025-12-08,57749451700
NXPI,2025-12-05,57482151500
NXPI,2025-12-04,57030767200
NXPI,2025-12-03,57383805200
NXPI,2025-12-02,54304809500
NXPI,2025-12-01,50305393300
NXPI,2025-11-28,49158019800
NXPI,2025-11-26,48860459200
NXPI,2025-11-25,48169513400
NXPI,2025-11-24,48305685200
NXPI,2025-11-21,48252729500
NXPI,2025-11-20,46447192300
NXPI,2025-11-19,47927430200
NXPI,2025-11-18,47556740300
NXPI,2025-11-17,48040906700
NXPI,2025-11-14,49702707000
NXPI,2025-11-13,50741647400
NXPI,2025-11-12,51462853600
NXPI,2025-11-11,51155206200
NXPI,2025-11-10,51727632100
NXPI,2025-11-07,51583895200
NXPI,2025-11-06,52060496500
NXPI,2025-11-05,53066654800
NXPI,2025-11-04,51548591400
NXPI,2025-11-03,53054046300
NXPI,2025-10-31,52733790400
NXPI,2025-10-30,52042844600
NXPI,2025-10-29,51621720700
NXPI,2025-10-28,53702123200
NXPI,2025-10-27,55870785200
NXPI,2025-10-24,55265577200
NXPI,2025-10-23,55716225140
NXPI,2025-10-22,54815092880
NXPI,2025-10-21,56122618120
NXPI,2025-10-20,55486524760
NXPI,2025-10-17,54105798300
NXPI,2025-10-16,54878197380
NXPI,2025-10-15,54832762140
NXPI,2025-10-14,54550053980
NXPI,2025-10-13,54698980600
NXPI,2025-10-10,51839084660
NXPI,2025-10-09,55890393560
NXPI,2025-10-08,56955597520
NXPI,2025-10-07,55425944440
NXPI,2025-10-06,58414573560
NXPI,2025-10-03,57775956020
NXPI,2025-10-02,57478102780
NXPI,2025-10-01,56771332380
NXPI,2025-09-30,57483151140
NXPI,2025-09-29,57074233980
NXPI,2025-09-26,57056564720
NXPI,2025-09-25,57250926580
NXPI,2025-09-24,57465481880
NXPI,2025-09-23,56950549160
NXPI,2025-09-22,56978315140
NXPI,2025-09-19,56554252900
NXPI,2025-09-18,57175201180
NXPI,2025-09-17,56009030020
NXPI,2025-09-16,55781853820
NXPI,2025-09-15,55347694860
NXPI,2025-09-12,55234106760
NXPI,2025-09-11,56342221780
NXPI,2025-09-10,55350219040
NXPI,2025-09-09,56463382420
NXPI,2025-09-08,56920259000
NXPI,2025-09-05,57233257320
NXPI,2025-09-04,56892493020
NXPI,2025-09-03,57601787600
NXPI,2025-09-02,58727571880
NXPI,2025-08-29,59280367300
NXPI,2025-08-28,60345571260
NXPI,2025-08-27,59992186060
NXPI,2025-08-26,60030048760
NXPI,2025-08-25,59739768060
NXPI,2025-08-22,59275318940
NXPI,2025-08-21,56523962740
NXPI,2025-08-20,57745665860
NXPI,2025-08-19,57871874860
NXPI,2025-08-18,58563500180
NXPI,2025-08-15,57748190040
NXPI,2025-08-14,58444863720
NXPI,2025-08-13,58187397360
NXPI,2025-08-12,55544580900
NXPI,2025-08-11,51786076880
NXPI,2025-08-08,52290912880
NXPI,2025-08-07,51975390380
NXPI,2025-08-06,51977914560
NXPI,2025-08-05,52621580460
NXPI,2025-08-04,53510091820
NXPI,2025-08-01,52987586560
NXPI,2025-07-31,53959395860
NXPI,2025-07-30,55769232920
NXPI,2025-07-29,57233257320
NXPI,2025-07-28,57674988820
NXPI,2025-07-25,56362415220
NXPI,2025-07-24,56650171740
NXPI,2025-07-23,56720848780
NXPI,2025-07-22,57551304000
NXPI,2025-07-21,57619456860
NXPI,2025-07-18,57021226200
NXPI,2025-07-17,56667841000
NXPI,2025-07-16,55678362440
NXPI,2025-07-15,55799523080
NXPI,2025-07-14,56695606980
NXPI,2025-07-11,57783528560
NXPI,2025-07-10,58861353420
NXPI,2025-07-09,58162155560
NXPI,2025-07-08,58646798120
NXPI,2025-07-07,57046468000
NXPI,2025-07-03,58586217800
NXPI,2025-07-02,58346420700
NXPI,2025-07-01,55837385780
NXPI,2025-06-30,55150808820
NXPI,2025-06-27,54784802720
NXPI,2025-06-26,55102849400
NXPI,2025-06-25,54592965040
NXPI,2025-06-24,55155857180
NXPI,2025-06-23,53224859480
NXPI,2025-06-20,52755362000
NXPI,2025-06-18,53373786100
NXPI,2025-06-17,53722122940
NXPI,2025-06-16,54908487540
NXPI,2025-06-13,53234956200
NXPI,2025-06-12,54875673200
NXPI,2025-06-11,54878197380
NXPI,2025-06-10,55208864960
NXPI,2025-06-09,53785227440
NXPI,2025-06-06,52422170240
NXPI,2025-06-05,52225284200
NXPI,2025-06-04,53012828360
NXPI,2025-06-03,50221085280
NXPI,2025-06-02,48668714580
NXPI,2025-05-30,48244652340
NXPI,2025-05-29,49446162020
NXPI,2025-05-28,49526935780
NXPI,2025-05-27,50205940200
NXPI,2025-05-23,48502118700
NXPI,2025-05-22,49602661180
NXPI,2025-05-21,51834036300
NXPI,2025-05-20,53027973440
NXPI,2025-05-19,53098650480
NXPI,2025-05-16,53653970080
NXPI,2025-05-15,53192045140
NXPI,2025-05-14,53343495940
NXPI,2025-05-13,53613583200
NXPI,2025-05-12,52258098540
NXPI,2025-05-09,48433965840
NXPI,2025-05-08,47598462260
NXPI,2025-05-07,47169351660
NXPI,2025-05-06,46043567380
NXPI,2025-05-05,46684709100
NXPI,2025-05-02,47489922520
NXPI,2025-05-01,45899689120
NXPI,2025-04-30,46523161580
NXPI,2025-04-29,46096575160
NXPI,2025-04-28,49534508320
NXPI,2025-04-25,48855503900
NXPI,2025-04-24,48860552260
NXPI,2025-04-23,45654843660
NXPI,2025-04-22,44087327880
NXPI,2025-04-21,43289687000
NXPI,2025-04-17,43097849320
NXPI,2025-04-16,42555150620
NXPI,2025-04-15,43322501340
NXPI,2025-04-14,43049889900
NXPI,2025-04-11,42605634220
NXPI,2025-04-10,41797896620
NXPI,2025-04-09,46916933660
NXPI,2025-04-08,38746163000
NXPI,2025-04-07,41217335220
NXPI,2025-04-04,40591338580
NXPI,2025-04-03,43385605840
NXPI,2025-04-02,48885794060
NXPI,2025-04-01,47959420000
NXPI,2025-03-31,47974565080
NXPI,2025-03-28,48202172910
NXPI,2025-03-27,50757022540
NXPI,2025-03-26,52200626750
NXPI,2025-03-25,53616322970
NXPI,2025-03-24,53563044080
NXPI,2025-03-21,50904173760
NXPI,2025-03-20,51411591760
NXPI,2025-03-19,52614172420
NXPI,2025-03-18,52543133900
NXPI,2025-03-17,53235759470
NXPI,2025-03-14,52304647440
NXPI,2025-03-13,51000583180
NXPI,2025-03-12,51870805050
NXPI,2025-03-11,52213312200
NXPI,2025-03-10,52984587560
NXPI,2025-03-07,56465475040
NXPI,2025-03-06,54412969230
NXPI,2025-03-05,54996499930
NXPI,2025-03-04,53573192440
NXPI,2025-03-03,54935609770
NXPI,2025-02-28,54697123310
NXPI,2025-02-27,55021870830
NXPI,2025-02-26,58195770420
NXPI,2025-02-25,57987729040
NXPI,2025-02-24,59152253350
NXPI,2025-02-21,60007252680
NXPI,2025-02-20,62376894740
NXPI,2025-02-19,62305856220
NXPI,2025-02-18,58063841740
NXPI,2025-02-14,56866335260
NXPI,2025-02-13,55711959310
NXPI,2025-02-12,55762701110
NXPI,2025-02-11,53524987730
NXPI,2025-02-10,53291575450
NXPI,2025-02-07,54022257370
NXPI,2025-02-06,55009185380
NXPI,2025-02-05,54100907160
NXPI,2025-02-04,51350701600
NXPI,2025-02-03,51941843570
NXPI,2025-01-31,52911011950
NXPI,2025-01-30,53631545510
NXPI,2025-01-29,54042554090
NXPI,2025-01-28,54149111870
NXPI,2025-01-27,54567731720
NXPI,2025-01-24,54149111870
NXPI,2025-01-23,55785534920
NXPI,2025-01-22,54823977810
NXPI,2025-01-21,54516989920
NXPI,2025-01-17,54638770240
NXPI,2025-01-16,53471708840
NXPI,2025-01-15,54182094040
NXPI,2025-01-14,53438726670
NXPI,2025-01-13,52474632470
NXPI,2025-01-10,52454335750
NXPI,2025-01-08,53207851480
NXPI,2025-01-07,53933459220
NXPI,2025-01-06,54144037690
NXPI,2025-01-03,52989661740
NXPI,2025-01-02,52317332890
NXPI,2024-12-31,52733415650
NXPI,2024-12-30,52948003760
NXPI,2024-12-27,54553262080
NXPI,2024-12-26,54879928320
NXPI,2024-12-24,54971803200
NXPI,2024-12-23,54637480720
NXPI,2024-12-20,53654929920
NXPI,2024-12-19,52896962160
NXPI,2024-12-18,53667690320
NXPI,2024-12-17,55895656160
NXPI,2024-12-16,55681281440
NXPI,2024-12-13,55339302720
NXPI,2024-12-12,55566437840
NXPI,2024-12-11,56104926720
NXPI,2024-12-10,55620031520
NXPI,2024-12-09,57067060880
NXPI,2024-12-06,55803781280
NXPI,2024-12-05,55377583920
NXPI,2024-12-04,57079821280
NXPI,2024-12-03,58279298880
NXPI,2024-12-02,59619140880
NXPI,2024-11-29,58537058960
NXPI,2024-11-27,57812268240
NXPI,2024-11-26,58355861280
NXPI,2024-11-25,59680390800
NXPI,2024-11-22,57773987040
NXPI,2024-11-21,57312060560
NXPI,2024-11-20,56232530720
NXPI,2024-11-19,56122791280
NXPI,2024-11-18,56194249520
NXPI,2024-11-15,55390344320
NXPI,2024-11-14,57156383680
NXPI,2024-11-13,56901175680
NXPI,2024-11-12,57368206320
NXPI,2024-11-11,57942424320
NXPI,2024-11-08,59690599120
NXPI,2024-11-07,60259712960
NXPI,2024-11-06,59050027040
NXPI,2024-11-05,57332477200
NXPI,2024-11-04,60458775200
NXPI,2024-11-01,60890076720
NXPI,2024-10-31,59846276000
NXPI,2024-10-30,62607626560
NXPI,2024-10-29,65226060640
NXPI,2024-10-28,63725437600
NXPI,2024-10-25,62056377280
NXPI,2024-10-24,61010024480
NXPI,2024-10-23,60310754560
NXPI,2024-10-22,59085756160
NXPI,2024-10-21,58736121200
NXPI,2024-10-18,59578307600
NXPI,2024-10-17,59279714240
NXPI,2024-10-16,59394557840
NXPI,2024-10-15,59425182800
NXPI,2024-10-14,62127835520
NXPI,2024-10-11,60765024800
NXPI,2024-10-10,60272473360
NXPI,2024-10-09,60818618480
NXPI,2024-10-08,59963671680
NXPI,2024-10-07,59723776160
NXPI,2024-10-04,59779921920
NXPI,2024-10-03,59524713920
NXPI,2024-10-02,60065754880
NXPI,2024-10-01,59264401760
NXPI,2024-09-30,61252472080
NXPI,2024-09-27,62324397940
NXPI,2024-09-26,61639905920
NXPI,2024-09-25,59535538260
NXPI,2024-09-24,59479557500
NXPI,2024-09-23,58998631880
NXPI,2024-09-20,59003721040
NXPI,2024-09-19,60744213760
NXPI,2024-09-18,58909571580
NXPI,2024-09-17,59179297060
NXPI,2024-09-16,58527884580
NXPI,2024-09-13,58507527940
NXPI,2024-09-12,57288674120
NXPI,2024-09-11,58746718460
NXPI,2024-09-10,57301397020
NXPI,2024-09-09,58678014800
NXPI,2024-09-06,57685628600
NXPI,2024-09-05,60230208600
NXPI,2024-09-04,60779837880
NXPI,2024-09-03,60087712120
NXPI,2024-08-30,65232852880
NXPI,2024-08-29,63304061240
NXPI,2024-08-28,62828224780
NXPI,2024-08-27,64309170340
NXPI,2024-08-26,63573786720
NXPI,2024-08-23,64283724540
NXPI,2024-08-22,62433814880
NXPI,2024-08-21,64711213980
NXPI,2024-08-20,64637421160
NXPI,2024-08-19,65711233920
NXPI,2024-08-16,64744293520
NXPI,2024-08-15,64441488500
NXPI,2024-08-14,61996147120
NXPI,2024-08-13,63108128580
NXPI,2024-08-12,61110633280
NXPI,2024-08-09,61583925160
NXPI,2024-08-08,62403279920
NXPI,2024-08-07,58344674820
NXPI,2024-08-06,60245476080
NXPI,2024-08-05,59901957780
NXPI,2024-08-02,60497389500
NXPI,2024-08-01,61991057960
NXPI,2024-07-31,66963167280
NXPI,2024-07-30,64041989440
NXPI,2024-07-29,65092900980
NXPI,2024-07-26,64535637960
NXPI,2024-07-25,62980899580
NXPI,2024-07-24,64734115200
NXPI,2024-07-23,66744333400
NXPI,2024-07-22,72217724980
NXPI,2024-07-19,68522994820
NXPI,2024-07-18,71062485660
NXPI,2024-07-17,70304200820
NXPI,2024-07-16,73991297240
NXPI,2024-07-15,71953088660
NXPI,2024-07-12,71296587020
NXPI,2024-07-11,69869077640
NXPI,2024-07-10,71851305460
NXPI,2024-07-09,69953048780
NXPI,2024-07-08,70540846760
NXPI,2024-07-05,69604441320
NXPI,2024-07-03,69286368820
NXPI,2024-07-02,69222754320
NXPI,2024-07-01,67601856860
NXPI,2024-06-28,68746575020
NXPI,2024-06-27,67704224780
NXPI,2024-06-26,68511535260
NXPI,2024-06-25,68958621760
NXPI,2024-06-24,68281605059
NXPI,2024-06-21,69242202340
NXPI,2024-06-20,67619917040
NXPI,2024-06-18,69336729200
NXPI,2024-06-17,69300962280
NXPI,2024-06-14,68685260300
NXPI,2024-06-13,70376524660
NXPI,2024-06-12,72297719220
NXPI,2024-06-11,71005000540
NXPI,2024-06-10,70729084300
NXPI,2024-06-07,69461913420
NXPI,2024-06-06,69492570780
NXPI,2024-06-05,70435284600
NXPI,2024-06-04,68033791400
NXPI,2024-06-03,68963731320
NXPI,2024-05-31,69515563800
NXPI,2024-05-30,69344393540
NXPI,2024-05-29,69957540740
NXPI,2024-05-28,71439313140
NXPI,2024-05-24,70810837260
NXPI,2024-05-23,69673960160
NXPI,2024-05-22,71234930740
NXPI,2024-05-21,70108272760
NXPI,2024-05-20,69891116460
NXPI,2024-05-17,68396570160
NXPI,2024-05-16,68879423580
NXPI,2024-05-15,69490016000
NXPI,2024-05-14,68381241480
NXPI,2024-05-13,67428308540
NXPI,2024-05-10,66866256940
NXPI,2024-05-09,66628662400
NXPI,2024-05-08,66477930379
NXPI,2024-05-07,66079384699
NXPI,2024-05-06,66329753140
NXPI,2024-05-03,65875002300
NXPI,2024-05-02,64957836280
NXPI,2024-05-01,63723877540
NXPI,2024-04-30,65450908820
NXPI,2024-04-29,63136278140
NXPI,2024-04-26,62004510600
NXPI,2024-04-25,60824202240
NXPI,2024-04-24,60047549120
NXPI,2024-04-23,57638391580
NXPI,2024-04-22,55862819480
NXPI,2024-04-19,54958427360
NXPI,2024-04-18,56039099300
NXPI,2024-04-17,57973067760
NXPI,2024-04-16,58933665040
NXPI,2024-04-15,58788042580
NXPI,2024-04-12,59682215580
NXPI,2024-04-11,62420939740
NXPI,2024-04-10,61590636240
NXPI,2024-04-09,64337024740
NXPI,2024-04-08,62571671760
NXPI,2024-04-05,61572752780
NXPI,2024-04-04,61102673260
NXPI,2024-04-03,62305974640
NXPI,2024-04-02,61511438060
NXPI,2024-04-01,62919121840
NXPI,2024-03-28,63569605590
NXPI,2024-03-27,62971804480
NXPI,2024-03-26,61334907020
NXPI,2024-03-25,61663312780
NXPI,2024-03-22,62687015110
NXPI,2024-03-21,63143704370
NXPI,2024-03-20,61901920090
NXPI,2024-03-19,60647307460
NXPI,2024-03-18,60708883540
NXPI,2024-03-15,60944925180
NXPI,2024-03-14,62533074910
NXPI,2024-03-13,64393185660
NXPI,2024-03-12,66055739819
NXPI,2024-03-11,64985855430
NXPI,2024-03-08,64662581010
NXPI,2024-03-07,66461115680
NXPI,2024-03-06,64462458750
NXPI,2024-03-05,63746636820
NXPI,2024-03-04,65244988100
NXPI,2024-03-01,66068568170
NXPI,2024-02-29,64072476910
NXPI,2024-02-28,62597216660
NXPI,2024-02-27,63046208910
NXPI,2024-02-26,62548468930
NXPI,2024-02-23,61281027950
NXPI,2024-02-22,61447796500
NXPI,2024-02-21,60375346440
NXPI,2024-02-20,59356775450
NXPI,2024-02-16,59564594720
NXPI,2024-02-15,60162395830
NXPI,2024-02-14,60026415320
NXPI,2024-02-13,59541503690
NXPI,2024-02-12,60724277560
NXPI,2024-02-09,59921222850
NXPI,2024-02-08,58453659610
NXPI,2024-02-07,56796236790
NXPI,2024-02-06,57214441000
NXPI,2024-02-05,56706438340
NXPI,2024-02-02,55159339330
NXPI,2024-02-01,54651336670
NXPI,2024-01-31,54025313190
NXPI,2024-01-30,55205521390
NXPI,2024-01-29,55795625490
NXPI,2024-01-26,55192693040
NXPI,2024-01-25,56293365470
NXPI,2024-01-24,56878338230
NXPI,2024-01-23,57453048310
NXPI,2024-01-22,56147122280
NXPI,2024-01-19,56023970120
NXPI,2024-01-18,54292142870
NXPI,2024-01-17,52719387160
NXPI,2024-01-16,53619937330
NXPI,2024-01-12,53650725370
NXPI,2024-01-11,54261354830
NXPI,2024-01-10,54210041430
NXPI,2024-01-09,54317799570
NXPI,2024-01-08,54435820390
NXPI,2024-01-05,52780963240
NXPI,2024-01-04,53304359920
NXPI,2024-01-03,55438997360
NXPI,2024-01-02,56747489060
NXPI,2023-12-29,59093218800
NXPI,2023-12-28,59450844950
NXPI,2023-12-27,59715848500
NXPI,2023-12-26,59677255750
NXPI,2023-12-22,58905400750
NXPI,2023-12-21,58982586250
NXPI,2023-12-20,57348826500
NXPI,2023-12-19,59016033300
NXPI,2023-12-18,59003169050
NXPI,2023-12-15,59929395050
NXPI,2023-12-14,59865073800
NXPI,2023-12-13,56944889050
NXPI,2023-12-12,56378862050
NXPI,2023-12-11,56744206750
NXPI,2023-12-08,55457781750
NXPI,2023-12-07,54467234500
NXPI,2023-12-06,52980127200
NXPI,2023-12-05,52956971550
NXPI,2023-12-04,53072749800
NXPI,2023-12-01,52918378800
NXPI,2023-11-30,52506722800
NXPI,2023-11-29,52571044050
NXPI,2023-11-28,51464718550
NXPI,2023-11-27,51369523100
NXPI,2023-11-24,51487874200
NXPI,2023-11-22,51348940300
NXPI,2023-11-21,51570205400
NXPI,2023-11-20,52316331900
NXPI,2023-11-17,51698847900
NXPI,2023-11-16,51662828000
NXPI,2023-11-15,51649963750
NXPI,2023-11-14,50142273650
NXPI,2023-11-13,47556559400
NXPI,2023-11-10,48027390950
NXPI,2023-11-09,46396204050
NXPI,2023-11-08,47173204750
NXPI,2023-11-07,47803553000
NXPI,2023-11-06,47031698000
NXPI,2023-11-03,46710091750
NXPI,2023-11-02,45691243150
NXPI,2023-11-01,44386808200
NXPI,2023-10-31,44363652550
NXPI,2023-10-30,43784761300
NXPI,2023-10-27,46087462050
NXPI,2023-10-26,46198094600
NXPI,2023-10-25,45266722900
NXPI,2023-10-24,47240098850
NXPI,2023-10-23,46915919750
NXPI,2023-10-20,47793261600
NXPI,2023-10-19,48351570050
NXPI,2023-10-18,49707462000
NXPI,2023-10-17,50870390200
NXPI,2023-10-16,51400397300
NXPI,2023-10-13,50041932500
NXPI,2023-10-12,52064192600
NXPI,2023-10-11,52347206100
NXPI,2023-10-10,51907248750
NXPI,2023-10-09,50973304200
NXPI,2023-10-06,51204860700
NXPI,2023-10-05,50286353250
NXPI,2023-10-04,50991314150
NXPI,2023-10-03,50222032000
NXPI,2023-10-02,51505884150
NXPI,2023-09-29,51477000960
NXPI,2023-09-28,51634068640
NXPI,2023-09-27,50647889600
NXPI,2023-09-26,50207585120
NXPI,2023-09-25,51013522560
NXPI,2023-09-22,50671063520
NXPI,2023-09-21,49952672000
NXPI,2023-09-20,50199860480
NXPI,2023-09-19,51276160320
NXPI,2023-09-18,51314783520
NXPI,2023-09-15,50822981440
NXPI,2023-09-14,52190242720
NXPI,2023-09-13,51600595200
NXPI,2023-09-12,51368856000
NXPI,2023-09-11,52398808000
NXPI,2023-09-08,52282938400
NXPI,2023-09-07,52530126880
NXPI,2023-09-06,53503431520
