date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,O,USD,0000726728,2025-02-25,2025-02-25 16:09:40,2024,FY,867341000,2395644000,3552000,57493000,30689000,28082000,0,2607000,0,218557000,3573276000,0,23302000,0,0,-3366185000,-3342883000,1175826000,1742810000,0,-2699482000,-240312000,-21158000,-5904000,203331000,495506000,292175000,3573276000,0,3573276000,https://www.sec.gov/Archives/edgar/data/726728/000072672825000055/0000726728-25-000055-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672825000055/o-20241231.htm
2023-12-31,O,USD,0000726728,2024-02-21,2024-02-21 16:16:06,2023,FY,872309000,1895177000,0,26227000,174007000,-111286000,111286000,285293000,-111286000,-13556000,2958769000,0,-1175379000,0,0,-8179475000,-9354854000,3186960000,5439462000,0,-2111793000,-77273000,6437356000,24023000,65294000,292175000,226881000,2958769000,0,2958769000,https://www.sec.gov/Archives/edgar/data/726728/000072672824000047/0000726728-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672824000047/o-20231231.htm
2022-12-31,O,USD,0000726728,2023-02-22,2023-02-22 16:07:07,2022,FY,872416000,1670389000,0,21617000,-34814000,-29524000,29524000,-5290000,-29524000,34248000,2563856000,0,0,-8892103000,551471000,-46444000,-8387076000,2947110000,4556028000,0,-1813431000,48536000,5738243000,-20511000,-105488000,226881000,332369000,2563856000,0,2563856000,https://www.sec.gov/Archives/edgar/data/726728/000072672823000044/0000726728-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672823000044/o-20221231.htm
2021-12-31,O,USD,0000726728,2022-02-23,2022-02-23 16:07:21,2021,FY,360747000,897835000,81801000,41773000,-35073000,-38292000,38292000,3219000,-38292000,-24894000,1322189000,-19080000,38345000,-6341466000,288881000,-404375000,-6437695000,840686000,4442725000,0,-1169026000,462735000,4577120000,20076000,-518310000,332369000,850679000,1322189000,-19080000,1303109000,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/0000726728-22-000046-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/o-20211231.htm
2020-12-31,O,USD,0000726728,2021-02-23,2021-02-23 16:24:32,2020,FY,396506000,677038000,80587000,16503000,-59520000,-79240000,79240000,19720000,-79240000,4429000,1115543000,-8708000,2032379000,-2283130000,259459000,-2032379000,-2032379000,872986000,728883000,0,-964167000,1054377000,1692079000,4431000,779674000,850679000,71005000,1115543000,-8708000,1106835000,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/0000726728-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/o-20201231.htm
2019-12-31,O,USD,0000726728,2020-02-24,2020-02-24 06:05:54,2019,FY,437478000,593961000,10687000,13662000,15102000,-8954000,8954000,24056000,-8954000,-1953000,1068937000,-23536000,3501809000,-3587184000,108911000,-3501809000,-3501809000,1258205000,845061000,-21123000,-852134000,1262593000,2492602000,-9796000,49934000,71005000,21071000,1068937000,-23536000,1045401000,https://www.sec.gov/Archives/edgar/data/726728/000072672820000033/0000726728-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672820000033/realtyincome10k2019.htm
2018-12-31,O,USD,0000726728,2019-02-22,2019-02-21 20:17:58,2018,FY,364598000,539780000,-1107000,27267000,11794000,-6901000,0,18695000,0,-1590000,940742000,-25350000,-200000,-1769535000,147553000,7848000,-1639684000,391729000,0,-2752000,-761582000,1080476000,707871000,0,8929000,21071000,12142000,940742000,-25350000,915392000,https://www.sec.gov/Archives/edgar/data/726728/000072672819000038/0000726728-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672819000038/realtyincome10k2018.htm
2017-12-31,O,USD,0000726728,2018-02-22,2018-02-22 16:47:24,2017,FY,319318000,498788000,13029000,13946000,26004000,-92000,0,26096000,0,4765000,875850000,0,0,-1420770000,167099000,-836000,-1254507000,158316000,1396566000,-408750000,-695462000,-75552000,375118000,0,-3539000,12142000,15681000,875850000,-15247000,860603000,https://www.sec.gov/Archives/edgar/data/726728/000110465918011376/0001104659-18-011376-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465918011376/a18-1096_110k.htm
2016-12-31,O,USD,0000726728,2017-02-23,2017-02-23 16:13:19,2016,FY,316477000,449943000,-2954000,12007000,33236000,-1232000,0,34468000,0,-4664000,804045000,-13426000,0,-1812722000,111611000,13426000,-1701111000,977246000,383572000,-9026000,-637596000,151996000,866192000,0,-30874000,9420000,40294000,804045000,-13426000,790619000,https://www.sec.gov/Archives/edgar/data/726728/000110465917011170/0001104659-17-011170-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465917011170/a17-1163_110k.htm
2015-12-31,O,USD,0000726728,2016-02-11,2016-02-11 16:55:53,2015,FY,284855000,409215000,-8640000,10391000,3527000,-2641000,0,6168000,0,-7045000,692303000,-11541000,0,-1278426000,99371000,11541000,-1179055000,-93612000,1192936000,-6750000,-560318000,383565000,523194000,0,36442000,40294000,3852000,692303000,-11541000,680762000,https://www.sec.gov/Archives/edgar/data/726728/000110465916095923/0001104659-16-095923-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465916095923/a15-23382_110k.htm
