date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,PAYC,USD,0001590955,2025-02-20,2025-02-20 16:05:39,2024,FY,1883200000,334600000,1548600000,0.8223237043,242600000,158600000,434400000,593000000,78700000,914300000,1248900000,0,3400000,145900000,798300000,0.4239061172,634300000,0.3368203059,14700000,649000000,0.3446261682,147000000,502000000,0.2665675446,8.93,8.92,56200000,56300000,https://www.sec.gov/Archives/edgar/data/1590955/000095017025024136/0000950170-25-024136-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000095017025024136/payc-20241231.htm
2023-12-31,PAYC,USD,0001590955,2024-02-15,2024-02-15 16:05:45,2023,FY,1693700000,276300000,1417400000,0.8368660329,199000000,288100000,417600000,705700000,61400000,966100000,1242400000,0,1900000,113900000,588200000,0.3472870048,451300000,0.2664580504,21100000,472400000,0.2789159828,131611000,340788000,0.201209187,5.91,5.88,57707000,57974000,https://www.sec.gov/Archives/edgar/data/1590955/000095017024015863/0000950170-24-015863-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000095017024015863/payc-20231231.htm
2022-12-31,PAYC,USD,0001590955,2023-02-16,2023-02-16 16:09:38,2022,FY,1375200000,212700000,1162500000,0.8453315881,148300000,239100000,346600000,585700000,49800000,783800000,996500000,0,2500000,92700000,484800000,0.352530541,378700000,0.2753781268,10900000,389600000,0.2833042467,108189000,281389000,0.204616783,4.86,4.84,57928000,58175000,https://www.sec.gov/Archives/edgar/data/1590955/000095017023003049/0000950170-23-003049-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000095017023003049/payc-20221231.htm
2021-12-31,PAYC,USD,0001590955,2022-02-17,2022-02-17 16:06:55,2021,FY,1055524000,161886000,893638000,0.8466297308,118426000,209840000,275994000,485834000,35811000,640071000,801957000,0,0,67222000,323184000,0.3061834691,253567000,0.24022855,2395000,255962000,0.2424975652,60002000,195960000,0.1856518658,3.39,3.37,57885000,58191000,https://www.sec.gov/Archives/edgar/data/1590955/000156459022005562/0001564590-22-005562-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459022005562/payc-10k_20211231.htm
2020-12-31,PAYC,USD,0001590955,2021-02-18,2021-02-18 16:07:23,2020,FY,841434000,123546000,717888000,0.8531720848,90244000,178200000,235716000,413916000,27605000,531765000,655311000,0,19000,53373000,239328000,0.2844287252,186123000,0.2211973845,-187000,185936000,0.2209751448,42483000,143453000,0.1704863364,2.49,2.46,57620000,58285000,https://www.sec.gov/Archives/edgar/data/1590955/000156459021006660/0001564590-21-006660-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459021006660/payc-10k_20201231.htm
2019-12-31,PAYC,USD,0001590955,2020-02-13,2020-02-13 17:01:49,2019,FY,737671000,109747000,627924000,0.8512250041,73080000,127534000,179286000,306820000,21800000,401700000,511447000,0,940000,42211000,269238000,0.3649838478,226224000,0.3066733002,-137000,226087000,0.3064875805,45511000,180576000,0.244792055,3.14,3.09,57561000,58395000,https://www.sec.gov/Archives/edgar/data/1590955/000156459020004636/0001564590-20-004636-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459020004636/payc-10k_20191231.htm
2018-12-31,PAYC,USD,0001590955,2019-02-14,2019-02-14 16:13:03,2018,FY,566336000,90763000,475573000,0.8397364815,46247000,96605000,143881000,240486000,15125000,301858000,392621000,0,766000,29657000,205134000,0.3622125381,173715000,0.3067348712,996000,174711000,0.3084935445,37646000,137065000,0.2420206379,2.38,2.34,57711315,58582486,https://www.sec.gov/Archives/edgar/data/1590955/000156459019002998/0001564590-19-002998-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459019002998/payc-10k_20181231.htm
2017-12-31,PAYC,USD,0001590955,2018-02-14,2018-02-14 17:13:17,2017,FY,433047000,72028000,361019000,0.8336716338,30430000,80228000,110846000,191074000,9805000,231309000,303337000,0,911000,19395000,148038000,0.3418520392,129710000,0.2995286886,-1978000,127732000,0.294961055,9840000,66807000,0.1542719381,1.15,1.13,57839155,58790019,https://www.sec.gov/Archives/edgar/data/1590955/000156459018002088/0001564590-18-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459018002088/payc-10k_20171231.htm
2016-12-31,PAYC,USD,0001590955,2017-02-21,2017-02-21 16:12:11,2016,FY,329141000,54066000,275075000,0.8357360523,20966000,59174000,85361000,144535000,7834000,173335000,227401000,0,1036000,13632000,115680000,0.3514603164,101740000,0.3091076469,-728000,101012000,0.3068958288,13403000,43840000,0.133195196,0.76,0.74,57550204,58968099,https://www.sec.gov/Archives/edgar/data/1590955/000156459017001891/0001564590-17-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459017001891/payc-10k_20161231.htm
2015-12-31,PAYC,USD,0001590955,2016-02-22,2016-02-22 16:37:32,2015,FY,224653000,35473000,189180000,0.8420987033,8627000,47826000,92554000,140380000,5738000,154745000,190218000,0,1427000,9421000,44373000,0.1975179499,34435000,0.1532808376,-910000,33525000,0.149230146,12580000,20945000,0.0932326744,0.37,0.36,56495170,57919700,https://www.sec.gov/Archives/edgar/data/1590955/000156459016013001/0001564590-16-013001-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459016013001/payc-10k_20151231.htm
