symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
RCL,2029-12-31,24276000142,25207202899,24688000000,-6216376538,-5986731583,-6088335329,-8035817754,-7738959127,-7870300783,7402313636,7773330627,7566466077,9099918627,9448982281,9254357792,27.11995,27.8614,26.53159,3,1
RCL,2028-12-31,22517190849,23037230283,22777210566,-5681237161,-5552989653,-5617113407,-7344051018,-7178267368,-7261159193,6408325912,6729521874,6568923893,8440624619,8635562685,8538093652,23.47826,24.12015,22.96891,4,1
RCL,2027-12-31,21001322401,21082726800,21042024601,-5199234868,-5179159638,-5189197253,-6720973803,-6695022851,-6707998327,5359523059,5834713070,5494889750,7872397586,7902912226,7887654906,20.41796,20.91295,19.20976,21,9
RCL,2026-12-31,19400913815,19790329996,19590629391,-4880515445,-4784481084,-4831267055,-6308969931,-6184827738,-6245307268,4849879337,5101498278,4975688807.5,7272480473,7418454091,7343595826,17.74977,18.28494,17.38308,19,14
RCL,2025-12-31,17920115857,18000071756,17940104832,-4439017855,-4419299841,-4424229345,-5738252545,-5712763361,-5719135657,4354559475,4399221795,4376890635,6717399701,6747371367,6724892617,15.64776,15.76782,15.60774,19,13
RCL,2024-12-31,16432179279,16552122194,16492150737,-4081937392,-4052358135,-4067147764,-5276659926,-5238423260,-5257541593,3234670211,3329806421,3282238316,6159642998,6204603896,6182123448,11.69409,11.93479,11.5938,14,15
RCL,2023-12-31,15074168915,15652398754,15330000000,-3860055587,-3717457678,-3780548469,-4989836608,-4805502407,-4887058936,2660304069,2793643750,2726973909.5,5650589458,5867340342,5746488373,9.74659,10.01306,9.53514,13,10
RCL,2022-12-30,8735158952,8989718951,8847189280,-1843922739,-1136013608,-1489968174,-3186045471,-2124030313,-2655037892,-4630858648,-3087239096,-3859048873,1129131399,1693697100,1411414250,-7.74152,-7.61408,-7.90365,7,7
RCL,2021-12-30,1606657820,1653479042,1627263559,-2786998132,-1857998754,-2322498443,-4040055786,-2693370524,-3366713156,-5506518609,-3671012403,-4588765507,942921577,1414382366,1178651972,-18.18005,-17.88078,-18.5608,7,5
RCL,2020-12-30,2181045532,2244605560,2209017919,-3798196426,-2532130950,-3165163688,-4782924527,-3188616351,-3985770439,-6049088522,-4032725681,-5040907102,832224523,1248336784,1040280654,-18.40101,-18.0981,-18.78639,6,10
RCL,2019-12-30,10832385513,11148062888,10971313231,2717447877,4076171815,3396809847,1609958572,2414937859,2012448216,1459781830,2189672746,1824727288,1179133577,1768700366,1473916972,9.55285,9.75292,9.39559,4,7
RCL,2018-12-30,9349377737,9621837300,9469285556,2401670804,3602506206,3002088505,1437900662,2156850995,1797375829,1375645677,2063468515,1719557096,974364863,1461547296,1217956080,8.85083,9.03619,8.70513,9,8
RCL,2017-12-30,8633135761,8884722600,8743857619,2177276595,3265914893,2721595744,1325885018,1988827527,1657356273,1237129206,1855693809,1546411508,889222865,1333834298,1111528582,7.4059,7.561,7.28399,17,16
RCL,2016-12-30,8451087166,8697368745,8559474211,1887356611,2831034918,2359195765,1126192311,1689288467,1407740389,981808807,1472713211,1227261009,824689536,1237034306,1030861921,6.05727,6.18413,5.95756,8,9
RCL,2015-12-30,8246093824,8486401488,8351851785,1238350994,1857526493,1547938744,622772432,934158648,778465540,484512713,726769070,605640892,736412153,1104618230,920515192,4.80788,4.90857,4.72873,15,14
RCL,2014-12-30,7117501787,10676252681,8896877234,1480912144,2221368216,1851140180,753343748,1130015623,941679686,607628840,911443262,759536051,892933698,1339400548,1116167123,3.45,4.15,2.75,18,18
RCL,2013-12-30,4953839719,7430759581,6192299650,1054782694,1582174041,1318478368,563414089,845121135,704267612,354333983,531500975,442917479,673758040,1010637063,842197552,1.96,2.36,1.56,17,17
RCL,2012-12-30,5217867051,7826800576,6522333814,1039559344,1650127077,1344843211,308104843,683793082,495948963,-116827865,144102452,13637294,984494273,1476741410,1230617842,1.4,1.68,1.12,14,14
RCL,2011-12-30,5114774449,7672161675,6393468062,1280361986,1920542981,1600452484,721087610,1081631415,901359513,485836462,728754693,607295578,709838276,1064757415,887297846,2.6,3.12,2.08,9,9
RCL,2010-12-30,9169013867,13753520799,11461267334,1216736823,1825105235,1520921029,589083062,883624594,736353829,445318755,667978132,556648444,665103260,997654892,831379076,1.535,1.89,1.18,10,10
