date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,RCL,USD,0000884887,2025-02-14,2025-02-14 06:55:04,2024,FY,16485000000,8652000000,7833000000,0.4751592357,0,0,0,2125000000,1602000000,3727000000,12379000000,16000000,1590000000,1600000000,6087000000,0.369244768,4106000000,0.2490749166,-1209000000,2897000000,0.1757355171,0,2877000000,0.174522293,11,10.94,261000000,279000000,https://www.sec.gov/Archives/edgar/data/884887/000088488725000050/0000884887-25-000050-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488725000050/rcl-20241231.htm
2023-12-31,RCL,USD,0000884887,2024-02-21,2024-02-21 17:14:53,2023,FY,13900000000,7775000000,6125000000,0.440647482,0,0,0,1792000000,1455000000,3247000000,11022000000,36000000,1402000000,1455000000,4561000000,0.3281294964,2878000000,0.2070503597,-1174000000,1704000000,0.1225899281,0,1697000000,0.1220863309,6.63,6.31,256000000,283000000,https://www.sec.gov/Archives/edgar/data/884887/000088488724000075/0000884887-24-000075-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488724000075/rcl-20231231.htm
2022-12-31,RCL,USD,0000884887,2023-02-23,2023-02-23 17:28:20,2022,FY,8840000000,6616000000,2224000000,0.2515837104,0,0,0,1583000000,1407000000,2990000000,9606000000,36000000,1364000000,1407000000,615000000,0.0695701357,-766000000,-0.0866515837,-1390000000,-2156000000,-0.2438914027,0,-2156000000,-0.2438914027,-8.45,-8.45,255011000,255011000,https://www.sec.gov/Archives/edgar/data/884887/000088488723000006/0000884887-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488723000006/rcl-20221231.htm
2021-12-31,RCL,USD,0000884887,2022-03-01,2022-03-01 09:15:18,2021,FY,1532000000,2739000000,-1207000000,-0.7878590078,0,0,0,1370000000,1293000000,2663000000,5402000000,17000000,1292000000,1293000000,-2675000000,-1.7460835509,-3870000000,-2.5261096606,-1390000000,-5260000000,-3.4334203655,0,-5260000000,-3.4334203655,-20.89,-20.89,251812000,251812000,https://www.sec.gov/Archives/edgar/data/884887/000088488722000008/0000884887-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488722000008/rcl-20211231.htm
2020-12-31,RCL,USD,0000884887,2021-02-26,2021-02-26 16:26:58,2020,FY,2208805000,2765108000,-556303000,-0.2518569996,0,0,0,1199620000,2845634000,4045254000,6810362000,21036000,844238000,1279254000,-3651638000,-1.6532188219,-4601557000,-2.0832789676,-1173573000,-5775130000,-2.6145947696,0,-5797462000,-2.6247052139,-27.05,-27.05,214335000,214335000,https://www.sec.gov/Archives/edgar/data/884887/000088488721000006/0000884887-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488721000006/rcl-20201231.htm
2019-12-31,RCL,USD,0000884887,2020-02-25,2020-02-25 17:13:38,2019,FY,10950661000,6062765000,4887896000,0.4463562519,0,0,0,1559253000,1245942000,2805195000,8867960000,26945000,408513000,1245942000,3562055000,0.3252821907,2082701000,0.1901895237,-175101000,1907600000,0.1741995301,0,1878887000,0.1715774966,8.97,8.95,209405000,209930000,https://www.sec.gov/Archives/edgar/data/884887/000088488720000009/0000884887-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488720000009/rcl-20191231.htm
2018-12-31,RCL,USD,0000884887,2019-02-22,2019-02-22 17:15:23,2018,FY,9493849000,5262207000,4231642000,0.4457245949,0,0,0,1303144000,1033697000,2336841000,7599048000,32800000,333672000,1033697000,3183161000,0.3352866682,1894801000,0.1995819609,-79009000,1815792000,0.1912598357,0,1811042000,0.1907595118,8.6,8.56,210570000,211554000,https://www.sec.gov/Archives/edgar/data/884887/000088488719000017/0000884887-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488719000017/rcl-20181231x10k.htm
2017-12-31,RCL,USD,0000884887,2018-02-21,2018-02-20 19:14:46,2017,FY,8777845000,4896579000,3881266000,0.4421661581,0,0,0,1186016000,951194000,2137210000,7033789000,30101000,299982000,951194000,2876309000,0.3276782627,1744056000,0.1986884024,-118923000,1625133000,0.1851403163,0,1625133000,0.1851403163,7.57,7.53,214617000,215694000,https://www.sec.gov/Archives/edgar/data/884887/000088488718000017/0000884887-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488718000017/rcl-20171231x10k.htm
2016-12-31,RCL,USD,0000884887,2017-02-23,2017-02-23 17:29:18,2016,FY,8496401000,5015539000,3480862000,0.4096866426,0,0,0,1108742000,894915000,2003657000,7019196000,20856000,307370000,894915000,2485673000,0.2925559893,1477205000,0.1738624389,-193817000,1283388000,0.1510507802,0,1283388000,0.1510507802,5.96,5.93,215393000,216316000,https://www.sec.gov/Archives/edgar/data/884887/000088488717000020/0000884887-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488717000020/rcl-20161231x10k.htm
2015-12-31,RCL,USD,0000884887,2016-02-22,2016-02-22 09:04:35,2015,FY,8299074000,5099393000,3199681000,0.385546749,0,0,0,1086504000,1238275000,2324779000,7424172000,12025000,277725000,827008000,1770516000,0.2133389822,874902000,0.105421641,-209119000,665783000,0.0802237695,0,665783000,0.0802237695,3.03,3.02,219537000,220689000,https://www.sec.gov/Archives/edgar/data/884887/000088488716000126/0000884887-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488716000126/rcl-20151231x10k.htm
