symbol,date,marketCap
SBAC,2026-01-02,20693332320
SBAC,2025-12-31,20795465870
SBAC,2025-12-30,20938452840
SBAC,2025-12-29,20823418210
SBAC,2025-12-26,20706233400
SBAC,2025-12-24,20706233400
SBAC,2025-12-23,20632052190
SBAC,2025-12-22,20494440670
SBAC,2025-12-19,20427785090
SBAC,2025-12-18,20465413240
SBAC,2025-12-17,20528843550
SBAC,2025-12-16,20424559820
SBAC,2025-12-15,20763213170
SBAC,2025-12-12,20605174940
SBAC,2025-12-11,20730960470
SBAC,2025-12-10,20342852980
SBAC,2025-12-09,20350378610
SBAC,2025-12-08,20532068820
SBAC,2025-12-05,20381556220
SBAC,2025-12-04,20426710000
SBAC,2025-12-03,20140736060
SBAC,2025-12-02,20100957730
SBAC,2025-12-01,20272972130
SBAC,2025-11-28,20885773430
SBAC,2025-11-26,20941678110
SBAC,2025-11-25,20781489700
SBAC,2025-11-24,20758912810
SBAC,2025-11-21,20966405180
SBAC,2025-11-20,20991132250
SBAC,2025-11-19,21081439810
SBAC,2025-11-18,21254529300
SBAC,2025-11-17,21048112020
SBAC,2025-11-14,21201849890
SBAC,2025-11-13,20851370550
SBAC,2025-11-12,21677039670
SBAC,2025-11-11,21807125560
SBAC,2025-11-10,21439444780
SBAC,2025-11-07,21222276600
SBAC,2025-11-06,20937377750
SBAC,2025-11-05,21049187110
SBAC,2025-11-04,21093265800
SBAC,2025-11-03,20805141680
SBAC,2025-10-31,20686619540
SBAC,2025-10-30,20649887502
SBAC,2025-10-29,20572102010
SBAC,2025-10-28,20894047520
SBAC,2025-10-27,21236780100
SBAC,2025-10-24,21385319160
SBAC,2025-10-23,21107615700
SBAC,2025-10-22,21245391060
SBAC,2025-10-21,21276605790
SBAC,2025-10-20,21286293120
SBAC,2025-10-17,21124837620
SBAC,2025-10-16,21249696540
SBAC,2025-10-15,20930014650
SBAC,2025-10-14,20566201590
SBAC,2025-10-13,20248672440
SBAC,2025-10-10,20354156700
SBAC,2025-10-09,20180861130
SBAC,2025-10-08,20193777570
SBAC,2025-10-07,20292803610
SBAC,2025-10-06,20306796420
SBAC,2025-10-03,20675991330
SBAC,2025-10-02,20634012900
SBAC,2025-10-01,20643700230
SBAC,2025-09-30,20811613950
SBAC,2025-09-29,21107615700
SBAC,2025-09-26,20905258140
SBAC,2025-09-25,21035498910
SBAC,2025-09-24,21013971510
SBAC,2025-09-23,21400388340
SBAC,2025-09-22,21312126000
SBAC,2025-09-19,21430526700
SBAC,2025-09-18,21400388340
SBAC,2025-09-17,21460665060
SBAC,2025-09-16,21439137660
SBAC,2025-09-15,21317507850
SBAC,2025-09-12,21524170890
SBAC,2025-09-11,21467123280
SBAC,2025-09-10,20835294090
SBAC,2025-09-09,20609256390
SBAC,2025-09-08,20596339950
SBAC,2025-09-05,21284140380
SBAC,2025-09-04,21007513290
SBAC,2025-09-03,21453130470
SBAC,2025-09-02,21742674000
SBAC,2025-08-29,22049439450
SBAC,2025-08-28,22177527480
SBAC,2025-08-27,22402488810
SBAC,2025-08-26,23555281080
SBAC,2025-08-25,23849130090
SBAC,2025-08-22,23989058190
SBAC,2025-08-21,23775936930
SBAC,2025-08-20,24079473270
SBAC,2025-08-19,23708125620
SBAC,2025-08-18,23158100550
SBAC,2025-08-15,23673681780
SBAC,2025-08-14,23347541670
SBAC,2025-08-13,23614481430
SBAC,2025-08-12,23463789630
SBAC,2025-08-11,23584343070
SBAC,2025-08-08,23771631450
SBAC,2025-08-07,24018120180
SBAC,2025-08-06,23655383490
SBAC,2025-08-05,23589724920
SBAC,2025-08-04,24799564800
SBAC,2025-08-01,24602589090
SBAC,2025-07-31,24188186640
SBAC,2025-07-30,24431446260
SBAC,2025-07-29,24640262040
SBAC,2025-07-28,24406689750
SBAC,2025-07-25,25178447040
SBAC,2025-07-24,25307611440
SBAC,2025-07-23,25500281670
SBAC,2025-07-22,25762915950
SBAC,2025-07-21,25226883690
SBAC,2025-07-18,25176294300
SBAC,2025-07-17,25064351820
SBAC,2025-07-16,25175217930
SBAC,2025-07-15,24759739110
SBAC,2025-07-14,25008380580
SBAC,2025-07-11,24627345600
SBAC,2025-07-10,25056817230
SBAC,2025-07-09,25216119990
SBAC,2025-07-08,25212890880
SBAC,2025-07-07,25142926830
SBAC,2025-07-03,25179523410
SBAC,2025-07-02,25573474830
SBAC,2025-07-01,25697257380
SBAC,2025-06-30,25277473080
SBAC,2025-06-27,24842619600
SBAC,2025-06-26,24831855900
SBAC,2025-06-25,25044977160
SBAC,2025-06-24,25466914200
SBAC,2025-06-23,25199974440
SBAC,2025-06-20,24682240470
SBAC,2025-06-18,24575679840
SBAC,2025-06-17,24597207240
SBAC,2025-06-16,24769426440
SBAC,2025-06-13,24522937710
SBAC,2025-06-12,24548770590
SBAC,2025-06-11,24191415750
SBAC,2025-06-10,24343183920
SBAC,2025-06-09,24217248630
SBAC,2025-06-06,24291518160
SBAC,2025-06-05,24718837050
SBAC,2025-06-04,24837237750
SBAC,2025-06-03,24700538760
SBAC,2025-06-02,24870605220
SBAC,2025-05-30,24959943930
SBAC,2025-05-29,24782342880
SBAC,2025-05-28,24652102110
SBAC,2025-05-27,24865223370
SBAC,2025-05-23,24704844240
SBAC,2025-05-22,24570297990
SBAC,2025-05-21,24961020300
SBAC,2025-05-20,25163377860
SBAC,2025-05-19,25349589870
SBAC,2025-05-16,25088031960
SBAC,2025-05-15,24658560330
SBAC,2025-05-14,23973989010
SBAC,2025-05-13,24306587340
SBAC,2025-05-12,24720989790
SBAC,2025-05-09,25799512530
SBAC,2025-05-08,25469066940
SBAC,2025-05-07,25866247470
SBAC,2025-05-06,26137492710
SBAC,2025-05-05,26042772150
SBAC,2025-05-02,26043848520
SBAC,2025-05-01,25912531380
SBAC,2025-04-30,26198845800
SBAC,2025-04-29,25671424500
SBAC,2025-04-28,24033189360
SBAC,2025-04-25,23905101330
SBAC,2025-04-24,23985829080
SBAC,2025-04-23,24099924300
SBAC,2025-04-22,24909354540
SBAC,2025-04-21,24277525350
SBAC,2025-04-17,24655331220
SBAC,2025-04-16,24290441790
SBAC,2025-04-15,24204332190
SBAC,2025-04-14,24189263010
SBAC,2025-04-11,23591877660
SBAC,2025-04-10,22840571400
SBAC,2025-04-09,22834113180
SBAC,2025-04-08,22449849090
SBAC,2025-04-07,23080601910
SBAC,2025-04-04,23670452670
SBAC,2025-04-03,24850154190
SBAC,2025-04-02,23609099580
SBAC,2025-04-01,23725347540
SBAC,2025-03-31,23681216370
SBAC,2025-03-28,23363208960
SBAC,2025-03-27,23313646720
SBAC,2025-03-26,23132636800
SBAC,2025-03-25,23090616640
SBAC,2025-03-24,23562535360
SBAC,2025-03-21,23880380160
SBAC,2025-03-20,23808191680
SBAC,2025-03-19,23681053760
SBAC,2025-03-18,24043073600
SBAC,2025-03-17,23800649600
SBAC,2025-03-14,23512973120
SBAC,2025-03-13,23117552640
SBAC,2025-03-12,23324421120
SBAC,2025-03-11,23748932480
SBAC,2025-03-10,24232703040
SBAC,2025-03-07,24105565120
SBAC,2025-03-06,23567922560
SBAC,2025-03-05,23744622720
SBAC,2025-03-04,23633646400
SBAC,2025-03-03,23866373440
SBAC,2025-02-28,23477417600
SBAC,2025-02-27,23509740800
SBAC,2025-02-26,23217754560
SBAC,2025-02-25,23614252480
SBAC,2025-02-24,22932232960
SBAC,2025-02-21,22949472000
SBAC,2025-02-20,22629472320
SBAC,2025-02-19,22385970880
SBAC,2025-02-18,22238361600
SBAC,2025-02-14,22127385280
SBAC,2025-02-13,22423681280
SBAC,2025-02-12,22478630720
SBAC,2025-02-11,22544354560
SBAC,2025-02-10,22228664640
SBAC,2025-02-07,22175870080
SBAC,2025-02-06,22087520000
SBAC,2025-02-05,21923749120
SBAC,2025-02-04,21283749760
SBAC,2025-02-03,21304221120
SBAC,2025-01-31,21285904640
SBAC,2025-01-30,21456140160
SBAC,2025-01-29,21344086400
SBAC,2025-01-28,21728732480
SBAC,2025-01-27,22404287360
SBAC,2025-01-24,21207251520
SBAC,2025-01-23,21407655360
SBAC,2025-01-22,21376409600
SBAC,2025-01-21,22018563840
SBAC,2025-01-17,21937755840
SBAC,2025-01-16,21999169920
SBAC,2025-01-15,21250349120
SBAC,2025-01-14,21012234880
SBAC,2025-01-13,21005770240
SBAC,2025-01-10,20768733440
SBAC,2025-01-08,21517554240
SBAC,2025-01-07,21105972160
SBAC,2025-01-06,21433513920
SBAC,2025-01-03,21742739200
SBAC,2025-01-02,21591897600
SBAC,2024-12-31,21958227200
SBAC,2024-12-30,21862796280
SBAC,2024-12-27,21849892800
SBAC,2024-12-26,21935916000
SBAC,2024-12-24,21781074240
SBAC,2024-12-23,21858495120
SBAC,2024-12-20,21889678530
SBAC,2024-12-19,21316548960
SBAC,2024-12-18,21619780740
SBAC,2024-12-17,22472485710
SBAC,2024-12-16,22826256120
SBAC,2024-12-13,23041314120
SBAC,2024-12-12,23231640450
SBAC,2024-12-11,23248845090
SBAC,2024-12-10,23374654020
SBAC,2024-12-09,24006924540
SBAC,2024-12-06,23697241020
SBAC,2024-12-05,23826275820
SBAC,2024-12-04,23743478490
SBAC,2024-12-03,23988644610
SBAC,2024-12-02,23972515260
SBAC,2024-11-29,24328436250
SBAC,2024-11-27,24571451790
SBAC,2024-11-26,24364996110
SBAC,2024-11-25,24299403420
SBAC,2024-11-22,23727349140
SBAC,2024-11-21,23595088470
SBAC,2024-11-20,23542399260
SBAC,2024-11-19,23599389630
SBAC,2024-11-18,23829501690
SBAC,2024-11-15,23773586610
SBAC,2024-11-14,23491860630
SBAC,2024-11-13,23496161790
SBAC,2024-11-12,23613368400
SBAC,2024-11-11,23676810510
SBAC,2024-11-08,24077893680
SBAC,2024-11-07,23826275820
SBAC,2024-11-06,23521968750
SBAC,2024-11-05,24555322440
SBAC,2024-11-04,24599409330
SBAC,2024-11-01,24257467110
SBAC,2024-10-31,24674679630
SBAC,2024-10-30,24933824520
SBAC,2024-10-29,24919845750
SBAC,2024-10-28,25800508260
