date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2025-10-31,SNPS,USD,0000883241,2025-12-22,2025-12-19 21:37:00,2025,FY,7054178000,1816074000,5238104000,0.7425534201,2479338000,769648000,1074191000,1843839000,0,4323177000,6139251000,0,446729000,777703000,2617574000,0.3710671888,914927000,0.1297000161,478215000,1393142000,0.1974917559,55991000,1337151000,0.189554474,8.13,8.04,160174000,161682000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/0000883241-25-000028-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/snps-20251031.htm
2024-10-31,SNPS,USD,0000883241,2024-12-19,2024-12-18 21:23:35,2024,FY,6127436000,1245289000,4882147000,0.7967683383,2082360000,568496000,859342000,1427838000,16238000,3526436000,4771725000,67016999,35161000,392338000,1941357000,0.316830237,1355711000,0.2212525761,158147000,1513858000,0.2470622296,99718000,2263380000,0.3693845191,14.78,14.51,153138000,155944000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000024/0000883241-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324124000024/snps-20241031.htm
2023-10-31,SNPS,USD,0000883241,2023-12-12,2023-12-12 17:22:32,2023,FY,5327956000,1232682000,4095274000,0.7686388551,1849935000,376677000,724934000,1101611000,-221678000,2729868000,3962550000,36674000,1178000,344825000,1651473000,0.3099637084,1365406000,0.2562720113,32231000,1305470000,0.2450226691,90188000,1229888000,0.2308367411,8.08,7.92,152146000,155195000,https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/0000883241-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/snps-20231031.htm
2022-10-31,SNPS,USD,0000883241,2022-12-12,2022-12-12 17:28:23,2022,FY,4615714000,898013000,3717701000,0.8054444015,1589846000,313554000,642729000,956283000,22858000,2568987000,3467000000,8545000,1698000,228405000,1333555000,0.2889162977,1148714000,0.2488702723,-45262000,1103452000,0.2390642055,139385000,984594000,0.2133134765,6.44,6.29,153002000,156485000,https://www.sec.gov/Archives/edgar/data/883241/000088324122000017/0000883241-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324122000017/snps-20221031.htm
2021-10-31,SNPS,USD,0000883241,2021-12-13,2021-12-13 17:22:49,2021,FY,4200011999,895696000,3304316000,0.7867396571,1504823000,322988000,712491000,1035479000,10378000,2550680000,3446376000,2442000,3365000,292192000,1101071000,0.2621590129,753636000,0.1794366302,70724000,805514000,0.1917884997,49155000,757516000,0.1803604371,4.96,4.81,152698000,157340000,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/0000883241-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/snps-20211031.htm
2020-10-31,SNPS,USD,0000883241,2020-12-15,2020-12-14 20:00:04,2020,FY,3684751000,833519000,2851232000,0.7737923132,1279022000,284530000,632010000,915937000,0,2194959000,3028478000,3561000,5140000,214104000,857403000,0.2326895359,656273000,0.1781051148,-18114000,638159000,0.1731891789,-25288000,664347000,0.1802963077,4.4,4.27,151135000,155706000,https://www.sec.gov/Archives/edgar/data/883241/000088324120000015/0000883241-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324120000015/snps10312010-k.htm
2019-10-31,SNPS,USD,0000883241,2019-12-20,2019-12-20 17:04:07,2019,FY,3359258000,794237000,2565021000,0.7635677283,1136932000,229218000,632890000,862108000,-16073000,1982967000,2777204000,6859000,11659000,204182000,761347000,0.226641419,582054000,0.1732686206,-36548000,545506000,0.1623888371,13139000,532366999,0.1584775564,3.55,3.45,149872000,154190000,https://www.sec.gov/Archives/edgar/data/883241/000088324119000019/0000883241-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324119000019/snps10311910-k.htm
2018-10-31,SNPS,USD,0000883241,2018-12-17,2018-12-14 20:07:29,2018,FY,3119955000,777528000,2342427000,0.7507887133,1084822000,236560000,622978000,885538000,-35515000,1934845000,2712373000,5323000,15607000,202063000,581213000,0.1862889048,407582000,0.1306371406,-44039000,363543000,0.1165218729,-68975000,432518000,0.1386295636,2.9,2.82,149036000,153393000,https://www.sec.gov/Archives/edgar/data/883241/000088324118000012/0000883241-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324118000012/snps10311810-k.htm
2017-10-31,SNPS,USD,0000883241,2017-12-14,2017-12-13 18:49:27,2017,FY,2727639000,685798000,2041841000,0.7485744998,908841000,189244000,549248000,746092000,-46305000,1608628000,2294426000,7241000,7303000,194508000,584909000,0.2144378343,433213000,0.1588234367,-50115000,383098000,0.1404504042,246535000,136563000,0.0500663761,0.91,0.88,150457000,154874000,https://www.sec.gov/Archives/edgar/data/883241/000088324117000014/0000883241-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324117000014/snps10311710-k.htm
2016-10-31,SNPS,USD,0000883241,2016-12-12,2016-12-09 19:54:04,2016,FY,2431117000,570469000,1860648000,0.7653469578,856705000,165962000,502368000,668330000,-16325000,1508710000,2079179000,3715000,3771000,207032000,540351000,0.2222644982,351938000,0.1447639089,-22390000,329548000,0.1355541506,62722000,266826000,0.1097544873,1.76,1.73,152017000,154721000,https://www.sec.gov/Archives/edgar/data/883241/000088324116000027/0000883241-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324116000027/snps10311610-k.htm
2015-10-31,SNPS,USD,0000883241,2015-12-14,2015-12-14 16:42:14,2015,FY,2232941000,544924000,1688017000,0.7559613084,776229000,165097000,474407000,639504000,-39093000,1376640000,1921564000,2785000,2814000,211821000,496245000,0.2222382947,311377000,0.1394470342,-29767000,281610000,0.1261161849,55676000,225934000,0.1011822525,1.46,1.43,154957000,158065000,https://www.sec.gov/Archives/edgar/data/883241/000088324115000014/0000883241-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324115000014/snps10311510-k.htm
