symbol,date,marketCap
SOLV,2026-01-02,13773186000
SOLV,2025-12-31,13811532000
SOLV,2025-12-30,13971888000
SOLV,2025-12-29,13959687000
SOLV,2025-12-26,14024177999
SOLV,2025-12-24,13975374000
SOLV,2025-12-23,14039865000
SOLV,2025-12-22,14079954000
SOLV,2025-12-19,14221137000
SOLV,2025-12-18,14062524000
SOLV,2025-12-17,13935285000
SOLV,2025-12-16,14046837000
SOLV,2025-12-15,14273427000
SOLV,2025-12-12,14463414000
SOLV,2025-12-11,14430297000
SOLV,2025-12-10,14275170000
SOLV,2025-12-09,13963173000
SOLV,2025-12-08,14397179999
SOLV,2025-12-05,14890449000
SOLV,2025-12-04,14860818000
SOLV,2025-12-03,14859075000
SOLV,2025-12-02,14918337000
SOLV,2025-12-01,14913108000
SOLV,2025-11-28,14860818000
SOLV,2025-11-26,14862561000
SOLV,2025-11-25,14949711000
SOLV,2025-11-24,14533134000
SOLV,2025-11-21,14449470000
SOLV,2025-11-20,13858593000
SOLV,2025-11-19,13475133000
SOLV,2025-11-18,13401927000
SOLV,2025-11-17,13279917000
SOLV,2025-11-14,13187538000
SOLV,2025-11-13,13110846000
SOLV,2025-11-12,12868569000
SOLV,2025-11-11,12877284000
SOLV,2025-11-10,12512997000
SOLV,2025-11-07,12465936000
SOLV,2025-11-06,11552604000
SOLV,2025-11-05,11798367000
SOLV,2025-11-04,11955237000
SOLV,2025-11-03,11873316000
SOLV,2025-10-31,12019864000
SOLV,2025-10-30,12061648000
SOLV,2025-10-29,12148698000
SOLV,2025-10-28,12347172000
SOLV,2025-10-27,12531718000
SOLV,2025-10-24,12437704000
SOLV,2025-10-23,12582207000
SOLV,2025-10-22,12667516000
SOLV,2025-10-21,12693631000
SOLV,2025-10-20,12686667000
SOLV,2025-10-17,12563056000
SOLV,2025-10-16,12437704000
SOLV,2025-10-15,12458596000
SOLV,2025-10-14,12446409000
SOLV,2025-10-13,12340208000
SOLV,2025-10-10,12277532000
SOLV,2025-10-09,12500380000
SOLV,2025-10-08,12610063000
SOLV,2025-10-07,12563056000
SOLV,2025-10-06,12845098000
SOLV,2025-10-03,12883400000
SOLV,2025-10-02,12987859999
SOLV,2025-10-01,12716264000
SOLV,2025-09-30,12709300000
