date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,paymentDate,recordDate
2026-01-05,89.19,89.45,86.72,86.81,86.81,242401,242401,-2.38,-2.66846,87.66,"January 05, 26",-0.0266846,,,,,
2026-01-02,88.72,89.92,87.84,89.71,89.71,1996000,1996000,0.99,1.12,89.0475,"January 02, 26",0.0112,,,,,
2025-12-31,89.09,89.57,88.11,88.29,88.29,2039903,2039903,-0.8,-0.89797,88.765,"December 31, 25",-0.0089797,,,,,
2025-12-30,88.89,89.17,88.48,89.14,89.14,1662214,1662214,0.25,0.28125,88.92,"December 30, 25",0.0028125,,,,,
2025-12-29,88.69,89.46,88.69,88.91,88.91,2002700,2002700,0.22,0.24806,88.9375,"December 29, 25",0.0024806,,,,,
2025-12-26,88.85,89.15,88.31,88.61,88.61,1087637,1087637,-0.24,-0.27012,88.73,"December 26, 25",-0.0027012,,,,,
2025-12-24,88.8,89.02,88.38,88.84,88.84,1191800,1191800,0.04,0.04504505,88.76,"December 24, 25",0.0004504505,,,,,
2025-12-23,88,88.89,87.61,88.68,88.68,3207418,3207418,0.68,0.77273,88.295,"December 23, 25",0.0077273,,,,,
2025-12-22,87.04,88.15,86.56,88.09,88.09,2794600,2794600,1.05,1.21,87.46,"December 22, 25",0.0121,,,,,
2025-12-19,87.39,88.38,86.87,86.94,86.94,6173801,6173801,-0.45,-0.51493,87.395,"December 19, 25",-0.0051493,,,,,
2025-12-18,87.72,87.95,87.11,87.25,87.25,4716000,4716000,-0.47,-0.5358,87.5075,"December 18, 25",-0.005358,,,,,
2025-12-17,87.51,88.17,86.24,86.78,86.78,5368900,5368900,-0.73,-0.83419,87.175,"December 17, 25",-0.0083419,,,,,
2025-12-16,88.04,88.47,86.86,87.91,87.91,3321211,3321211,-0.13,-0.14766,87.82,"December 16, 25",-0.0014766,,,,,
2025-12-15,89.51,89.51,87.06,88.59,88.59,3620314,3620314,-0.92,-1.03,88.6675,"December 15, 25",-0.0103,,,,,
2025-12-12,89.12,89.52,87.94,88.49,88.49,2424100,2424100,-0.63,-0.70691,88.7675,"December 12, 25",-0.0070691,,,,,
2025-12-11,88.21,89.23,87.95,88.97,88.97,2913813,2913813,0.76,0.86158,88.59,"December 11, 25",0.0086158,2025-11-06,0.645,0.645,2026-01-15,2025-12-11
2025-12-10,88.22,89.29,87.91,89.07,88.42,5688840,5688840,0.85,0.9635,88.6225,"December 10, 25",0.009635,,,,,
2025-12-09,88.63,89.18,88.09,88.32,87.68,2656172,2656172,-0.31,-0.34977,88.555,"December 09, 25",-0.0034977,,,,,
2025-12-08,90.53,90.58,87.85,88.16,87.52,4131100,4131100,-2.37,-2.62,89.28,"December 08, 25",-0.0262,,,,,
2025-12-05,90.22,91.12,89.77,90.66,90,3395037,3395037,0.44,0.4877,90.4425,"December 05, 25",0.004877,,,,,
2025-12-04,90.45,91.42,89.8,90.07,89.42,5004293,5004293,-0.38,-0.42012,90.435,"December 04, 25",-0.0042012,,,,,
2025-12-03,91.08,91.13,90.31,90.73,90.07,2526922,2526922,-0.35,-0.38428,90.8125,"December 03, 25",-0.0038428,,,,,
2025-12-02,91.64,91.75,90.26,90.95,90.29,3406300,3406300,-0.69,-0.75295,91.15,"December 02, 25",-0.0075295,,,,,
2025-12-01,93.88,94.28,91.37,91.5,90.84,4579182,4579182,-2.38,-2.54,92.7575,"December 01, 25",-0.0254,,,,,
2025-11-28,93.77,94.73,93.16,94.72,94.03,1281200,1281200,0.95,1.01,94.095,"November 28, 25",0.0101,,,,,
2025-11-26,92.99,94,92.62,93.79,93.11,2725200,2725200,0.8,0.86031,93.35,"November 26, 25",0.0086031,,,,,
2025-11-25,93.91,93.91,92.34,92.47,91.8,3382252,3382252,-1.44,-1.53,93.1575,"November 25, 25",-0.0153,,,,,
2025-11-24,92.5,95.05,91.97,93.91,93.23,13195700,13195700,1.41,1.52,93.3575,"November 24, 25",0.0152,,,,,
2025-11-21,91.31,92.86,90.54,92.5,91.83,4635053,4635053,1.19,1.3,91.8025,"November 21, 25",0.013,,,,,
2025-11-20,91.81,92.82,90.67,90.71,90.05,2573877,2573877,-1.1,-1.2,91.5025,"November 20, 25",-0.012,,,,,
