date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,declarationDate,dividend,recordDate,paymentDate
2026-01-02,38.84,39.78,38.55,39.6,39.6,4506800,4506800,0.76,1.96,39.1925,"January 02, 26",0.0196,,,,,
2025-12-31,38.78,38.91,38.52,38.67,38.67,3484400,3484400,-0.11,-0.28365,38.72,"December 31, 25",-0.0028365,,,,,
2025-12-30,38.64,38.92,38.6,38.84,38.84,2354556,2354556,0.2,0.5176,38.75,"December 30, 25",0.005176,,,,,
2025-12-29,38.69,38.79,38.35,38.68,38.68,3555146,3555146,-0.01,-0.02584647,38.6275,"December 29, 25",-0.0002584647,,,,,
2025-12-26,38.32,38.78,38.16,38.74,38.74,2171504,2171504,0.42,1.1,38.5,"December 26, 25",0.011,,,,,
2025-12-24,38.23,38.35,37.69,38.13,38.13,1125200,1125200,-0.1,-0.26157,38.1,"December 24, 25",-0.0026157,,,,,
2025-12-23,38.35,38.35,37.53,38.24,38.24,2999800,2999800,-0.11,-0.28683,38.1175,"December 23, 25",-0.0028683,,,,,
2025-12-22,38.2,38.25,37.67,38.09,38.09,5032630,5032630,-0.11,-0.28796,38.0525,"December 22, 25",-0.0028796,,,,,
2025-12-19,38.39,38.63,38.09,38.11,38.11,10373906,10373906,-0.275,-0.72936,38.305,"December 19, 25",-0.0072936,,,,,
2025-12-18,38.1,38.81,37.73,38.62,38.62,5629702,5629702,0.525,1.36,38.315,"December 18, 25",0.0136,,,,,
2025-12-17,37.43,38.32,37.38,38.02,38.02,5476600,5476600,0.59,1.58,37.7875,"December 17, 25",0.0158,,,,,
2025-12-16,37.61,37.78,37.3,37.69,37.69,6362500,6362500,0.08,0.21271,37.595,"December 16, 25",0.0021271,,,,,
2025-12-15,37.52,37.62,37.01,37.54,37.54,4952500,4952500,0.02,0.0533049,37.4225,"December 15, 25",0.000533049,,,,,
2025-12-12,38.5,38.54,37.05,37.19,37.19,4719435,4719435,-1.31,-3.4,37.82,"December 12, 25",-0.034,,,,,
2025-12-11,37.68,38.44,37.54,38.01,38.01,6745800,6745800,0.33,0.8758,37.9175,"December 11, 25",0.008758,,,,,
2025-12-10,35.52,37.2,35.48,37.17,37.17,4339600,4339600,1.65,4.65,36.3425,"December 10, 25",0.0465,,,,,
2025-12-09,35.55,36.03,35.04,35.31,35.31,3256245,3256245,-0.24,-0.67511,35.4825,"December 09, 25",-0.0067511,,,,,
2025-12-08,36.15,36.28,35.78,36.06,36.06,5752700,5752700,-0.09,-0.24896,36.0675,"December 08, 25",-0.0024896,,,,,
2025-12-05,36.37,36.59,35.99,36.04,36.04,5562989,5562989,-0.33,-0.90734,36.2475,"December 05, 25",-0.0090734,,,,,
2025-12-04,35.98,37.08,35.93,36.45,36.45,6357213,6357213,0.47,1.31,36.36,"December 04, 25",0.0131,,,,,
2025-12-03,34.77,36.18,34.61,36.12,36.12,7070317,7070317,1.35,3.88,35.42,"December 03, 25",0.0388,,,,,
2025-12-02,35.41,35.43,34.21,34.45,34.45,5488005,5488005,-0.96,-2.71,34.875,"December 02, 25",-0.0271,,,,,
2025-12-01,35.61,35.96,35.05,35.65,35.65,6076825,6076825,0.04,0.11233,35.5675,"December 01, 25",0.0011233,,,,,
2025-11-28,36,36.09,35.63,35.69,35.69,2662932,2662932,-0.31,-0.86111,35.8525,"November 28, 25",-0.0086111,,,,,
2025-11-26,34.87,35.87,34.83,35.78,35.78,3750566,3750566,0.91,2.61,35.3375,"November 26, 25",0.0261,,,,,
2025-11-25,34.17,35.03,34.11,34.96,34.96,5106900,5106900,0.79,2.31,34.5675,"November 25, 25",0.0231,,,,,
2025-11-24,33.46,33.93,33.35,33.71,33.71,6202400,6202400,0.25,0.74716,33.6125,"November 24, 25",0.0074716,,,,,
2025-11-21,32.96,34.18,32.92,33.78,33.78,5968902,5968902,0.82,2.49,33.46,"November 21, 25",0.0249,,,,,
2025-11-20,33.84,34.02,32.73,32.79,32.79,5284952,5284952,-1.05,-3.1,33.345,"November 20, 25",-0.031,,,,,
2025-11-19,34,34.03,33.19,33.67,33.67,6251400,6251400,-0.33,-0.97059,33.7225,"November 19, 25",-0.0097059,,,,,
2025-11-18,33.91,34.51,33.6,33.82,33.82,6321530,6321530,-0.09,-0.26541,33.96,"November 18, 25",-0.0026541,,,,,
2025-11-17,34.21,34.36,33.67,33.92,33.92,4563936,4563936,-0.29,-0.84771,34.04,"November 17, 25",-0.0084771,,,,,
2025-11-14,34.41,34.54,33.71,34.29,34.29,4507268,4507268,-0.12,-0.34874,34.2375,"November 14, 25",-0.0034874,0.4308,2025-10-29,0.4308,2025-11-14,2025-12-18
2025-11-13,35.49,35.78,34.9,35.08,34.65,4891843,4891843,-0.415,-1.16,35.3125,"November 13, 25",-0.0116,,,,,
2025-11-12,35.92,36.35,35.37,35.38,34.95,4473940,4473940,-0.54,-1.5,35.755,"November 12, 25",-0.015,,,,,
2025-11-11,36.01,36.47,35.67,35.84,35.4,7860827,7860827,-0.17,-0.47209,35.9975,"November 11, 25",-0.0047209,,,,,
2025-11-10,36.03,36.06,35.13,35.5,35.06,4847534,4847534,-0.53,-1.47,35.68,"November 10, 25",-0.0147,,,,,
2025-11-07,35.15,35.82,35,35.81,35.37,4821509,4821509,0.66,1.88,35.445,"November 07, 25",0.0188,,,,,
2025-11-06,35.83,36.03,35.23,35.72,35.28,4795189,4795189,-0.11,-0.30701,35.7025,"November 06, 25",-0.0030701,,,,,
