date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,SYF,USD,0001601712,2025-02-07,2025-02-07 16:29:30,2024,FY,14711000000,3079000000,17790000000,0,0,0,17790000000,0,1274000000,854000000,2128000000,104721000000,0,-5176000000,101673000000,0,119463000000,0,0,0,0,82062000000,82062000000,15462000000,0,0,5359000000,20821000000,0,0,102883000000,1222000000,1000000,21635000000,-59000000,-6219000000,16580000000,16580000000,119463000000,0,119463000000,107800000000,15462000000,751000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171225000044/0001601712-25-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171225000044/syf-20241231.htm
2023-12-31,SYF,USD,0001601712,2024-02-08,2024-02-08 16:07:03,2023,FY,14259000000,3799000000,18058000000,0,0,0,18058000000,0,1018000000,815000000,1833000000,103244000000,0,-5656000000,99421000000,0,117479000000,0,0,0,0,81153000000,81153000000,15982000000,0,0,6441000000,22423000000,0,0,103576000000,734000000,1000000,18662000000,-68000000,-5426000000,13903000000,13903000000,117479000000,0,117479000000,107043000000,15982000000,1723000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171224000047/0001601712-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171224000047/syf-20231231.htm
2022-12-31,SYF,USD,0001601712,2023-02-09,2023-02-09 16:55:13,2022,FY,10294000000,4879000000,15173000000,0,0,0,15173000000,0,1105000000,742000000,1847000000,92470000000,0,-4926000000,89391000000,0,104564000000,0,0,0,0,77500000000,77500000000,14191000000,0,0,0,14191000000,0,0,91691000000,734000000,1000000,16716000000,-125000000,-4453000000,12873000000,12873000000,104564000000,0,104564000000,97349000000,14191000000,3897000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171223000037/0001601712-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171223000037/syf-20221231.htm
2021-12-31,SYF,USD,0001601712,2022-02-10,2022-02-10 16:27:47,2021,FY,8337000000,5283000000,13620000000,0,0,0,13620000000,0,1105000000,1168000000,2273000000,85101000000,0,-5246000000,82128000000,0,95748000000,0,0,0,0,67586000000,67586000000,14507000000,0,0,0,14507000000,0,0,82093000000,734000000,1000000,14245000000,-69000000,-1256000000,13655000000,13655000000,95748000000,0,95748000000,90384000000,14507000000,6170000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171222000053/0001601712-22-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171222000053/syf-20211231.htm
2020-12-31,SYF,USD,0001601712,2021-02-11,2021-02-11 16:51:56,2020,FY,11524000000,7469000000,18993000000,0,0,0,18993000000,0,1078000000,1125000000,2203000000,81872000000,0,-7120000000,76955000000,0,95948000000,0,0,0,0,67472000000,67472000000,15775000000,0,0,0,15775000000,0,0,83247000000,734000000,1000000,10621000000,-51000000,1396000000,12701000000,12701000000,95948000000,0,95948000000,89341000000,15775000000,4251000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171221000057/0001601712-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171221000057/syf-20201231.htm
2019-12-31,SYF,USD,0001601712,2020-02-13,2020-02-13 17:31:54,2019,FY,12147000000,5911000000,18058000000,0,0,0,18058000000,0,1078000000,1265000000,2343000000,87940000000,0,-3515000000,86768000000,0,104826000000,0,0,0,0,69872000000,69872000000,19866000000,0,0,0,19866000000,0,0,89738000000,734000000,1000000,12117000000,-58000000,2294000000,15088000000,15088000000,104826000000,0,104826000000,93851000000,19866000000,7719000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171220000038/0001601712-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171220000038/synchrony1231201910k.htm
2018-12-31,SYF,USD,0001601712,2019-02-15,2019-02-15 16:23:05,2018,FY,9396000000,6062000000,15458000000,0,0,0,15458000000,0,1024000000,1137000000,2161000000,93139000000,0,-3966000000,91334000000,0,106792000000,0,0,0,0,68118000000,68118000000,23996000000,0,0,0,23996000000,0,0,92114000000,0,1000000,8986000000,-62000000,5753000000,14678000000,14678000000,106792000000,0,106792000000,99201000000,23996000000,14600000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171219000053/0001601712-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171219000053/synchrony1231201810k.htm
2017-12-31,SYF,USD,0001601712,2018-02-22,2018-02-22 16:56:29,2017,FY,11602000000,4473000000,16075000000,0,0,0,16075000000,0,991000000,749000000,1740000000,81947000000,0,-3954000000,79733000000,0,95808000000,0,0,0,0,60775000000,60775000000,20799000000,0,0,0,20799000000,0,0,81574000000,0,1000000,6809000000,-64000000,7488000000,14234000000,14234000000,95808000000,0,95808000000,86420000000,20799000000,9197000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171218000107/0001601712-18-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171218000107/synchrony1231201710k.htm
2016-12-31,SYF,USD,0001601712,2017-02-23,2017-02-23 16:54:20,2016,FY,9321000000,5095000000,14416000000,0,0,0,14416000000,0,949000000,712000000,1661000000,76352000000,0,-2222000000,75791000000,0,90207000000,0,0,0,0,55864000000,55864000000,20147000000,0,0,0,20147000000,0,0,76011000000,0,1000000,5330000000,-53000000,8918000000,14196000000,14196000000,90207000000,0,90207000000,81447000000,20147000000,10826000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171217000031/0001601712-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171217000031/synchrony1231201610k.htm
2015-12-31,SYF,USD,0001601712,2016-02-25,2016-02-25 17:26:46,2015,FY,12325000000,3127000000,15452000000,0,0,0,15452000000,0,949000000,701000000,1650000000,68305000000,0,-1417000000,68538000000,0,83990000000,0,0,0,0,47107000000,47107000000,24279000000,0,0,0,24279000000,0,0,71386000000,0,1000000,3293000000,-41000000,9351000000,12604000000,12604000000,83990000000,0,83990000000,71432000000,24279000000,11954000000,https://www.sec.gov/Archives/edgar/data/1601712/000160171216000069/0001601712-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171216000069/synchrony1231201510k.htm
