date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2025-09-30,TDG,USD,0001260221,2025-11-12,2025-11-12 16:06:17,2025,FY,8831000000,3520000000,5311000000,0.6014041445,0,921000000,0,921000000,225000000,1146000000,4666000000,0,1572000000,367000000,4568000000,0.5172687125,4165000000,0.4716340165,-1536000000,2629000000,0.2977012796,555000000,2074000000,0.2348544899,32.08,32.08,58200000,58200000,https://www.sec.gov/Archives/edgar/data/1260221/000126022125000081/0001260221-25-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022125000081/tdg-20250930.htm
2024-09-30,TDG,USD,0001260221,2024-11-07,2024-11-07 16:05:07,2024,FY,7940000000,3268000000,4672000000,0.5884130982,0,931000000,0,931000000,210000000,1141000000,4409000000,0,1344000000,312000000,3813000000,0.4802267003,3531000000,0.4447103275,-1316000000,2215000000,0.2789672544,500000000,1714000000,0.2158690176,25.62,25.62,57800000,57800000,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000083/0001260221-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000083/tdg-20240930.htm
2023-09-30,TDG,USD,0001260221,2023-11-09,2023-11-09 16:02:56,2023,FY,6585000000,2743000000,3842000000,0.5834472285,0,770000000,0,770000000,149000000,919000000,3662000000,0,1220000000,268000000,3148000000,0.4780561883,2923000000,0.4438876234,-1207000000,1716000000,0.2605922551,417000000,1298000000,0.1971146545,22.028,22.028,57200000,57200000,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000081/0001260221-23-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000081/tdg-20230930.htm
2022-09-30,TDG,USD,0001260221,2022-11-10,2022-11-10 16:16:08,2022,FY,5429000000,2330000000,3099000000,0.5708233561,0,728000000,20000000,748000000,136000000,884000000,3214000000,0,1078000000,253000000,2456000000,0.452385338,2215000000,0.4079941057,-1088000000,1127000000,0.2075888746,261000000,866000000,0.1595137226,13.4021,13.4021,58200000,58200000,https://www.sec.gov/Archives/edgar/data/1260221/000126022122000065/0001260221-22-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022122000065/tdg-20220930.htm
2021-09-30,TDG,USD,0001260221,2021-11-16,2021-11-16 17:10:27,2021,FY,4798000000,2285000000,2513000000,0.5237599,0,650000000,35000000,685000000,137000000,822000000,3107000000,0,1098000000,253000000,2027000000,0.4224676949,1691000000,0.352438516,-976000000,715000000,0.1490204252,34000000,680000000,0.141725719,10.3938,10.3938,58400000,58400000,https://www.sec.gov/Archives/edgar/data/1260221/000126022121000134/0001260221-21-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022121000134/tdg-20210930.htm
2020-09-30,TDG,USD,0001260221,2020-11-12,2020-11-12 13:58:22,2020,FY,5103000000,2456000000,2647000000,0.5187144817,0,676000000,51000000,727000000,169000000,896000000,3352000000,0,1061000000,283000000,2052000000,0.4021164021,1751000000,0.3431314913,-1011000000,740000000,0.1450127376,87000000,699000000,0.1369782481,8.2722,8.2722,57300000,57300000,https://www.sec.gov/Archives/edgar/data/1260221/000126022120000099/0001260221-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022120000099/tdg-20200930.htm
2019-09-30,TDG,USD,0001260221,2019-11-19,2019-11-19 15:57:53,2019,FY,5223223000,2540584000,2682639000,0.5135984047,116800000,0,0,552173000,0,668973000,3209557000,0,865826000,224641000,2153332000,0.4122611652,2013666000,0.3855217363,-950801000,1062865000,0.2034883443,221986000,778749000,0.1490935769,13.8407,13.8407,56265000,56265000,https://www.sec.gov/Archives/edgar/data/1260221/000126022119000043/0001260221-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022119000043/tdg2019-09x3010xk.htm
2018-09-30,TDG,USD,0001260221,2018-11-09,2018-11-09 15:20:58,2018,FY,3811126000,1692670000,2118456000,0.5558609188,73800000,0,0,368695000,0,442495000,2135165000,0,669404000,128851000,1783812000,0.4680537983,1675961000,0.4397548126,-690404000,985557000,0.2585999518,24021000,907758000,0.2381862998,16.3275,16.3275,55597000,55600000,https://www.sec.gov/Archives/edgar/data/1260221/000126022118000070/0001260221-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022118000070/tdg2018-09x3010xk.htm
2017-09-30,TDG,USD,0001260221,2017-11-13,2017-11-13 11:55:08,2017,FY,3504286000,1604885000,1899401000,0.542022255,73800000,0,0,335275000,0,409075000,2013960000,0,639296000,140163000,1616889000,0.4614032645,1490326000,0.4252866347,-652896000,837430000,0.2389730747,208889000,437630000,0.1248842132,7.88,7.88,55530000,55530000,https://www.sec.gov/Archives/edgar/data/1260221/000126022117000060/0001260221-17-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022117000060/tdg2017-09x3010xk.htm
2016-09-30,TDG,USD,0001260221,2016-11-15,2016-11-15 12:40:25,2016,FY,3171411000,1512493000,1658918000,0.5230851504,58600000,0,0,298258000,0,356858000,1869351000,0,498244000,121670000,1388030000,0.437669542,1302060000,0.4105617342,-533944000,768116000,0.2422000807,181702000,583414000,0.1839603886,10.39,10.39,56157000,56157000,https://www.sec.gov/Archives/edgar/data/1260221/000126022116000107/0001260221-16-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022116000107/tdg2016-09x3010xk.htm
