date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,TKO,USD,0001973266,2025-02-26,2025-02-26 16:19:27,2024,FY,6377000,392842000,0,94636000,90856000,-52677000,0,220851000,-77318000,-1301000,583410000,0,0,0,0,-59048000,-59048000,7523000,0,-165000000,-67256000,-7530000,-232263000,-2382000,289717000,525556000,235839000,583410000,-74949000,508461000,https://www.sec.gov/Archives/edgar/data/1973266/000095017025027778/0000950170-25-027778-index.htm,https://www.sec.gov/Archives/edgar/data/1973266/000095017025027778/tko-20241231.htm
2023-12-31,TKO,USD,0001973266,2024-02-27,2024-02-27 16:39:11,2023,FY,175723000,164616000,6831000,57109000,27933000,15066000,0,38188000,-25321000,36169000,468381000,-48633000,381153000,0,765000,-321006000,12279000,-33406000,0,-100000000,-296587000,5521000,-424472000,-923000,55265000,235839000,180574000,468381000,-48633000,419748000,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/0001562762-24-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/tko-20231231x10k.htm
2022-12-31,TKO,USD,0001973266,2022-12-31,2022-12-30 19:00:00,2022,FY,389022000,60032000,2334000,23744000,-2079000,-26404000,5628000,-5182000,23879000,28670000,501723000,-12404000,-875000,-246159000,263789000,-17615000,-13264000,-82600000,2877000,-2877000,-1095904000,-2877000,-1181381000,-1192000,-694114000,180574000,874688000,501723000,-12404000,489319000,,
2021-12-31,TKO,USD,0001973266,2021-12-31,2021-12-30 19:00:00,2021,FY,177408000,77924000,-2993000,0,-99759000,-120629000,1160000,22719000,-3009000,26016000,178596000,-39231000,0,-375972000,222060000,4329000,-188814000,-112346000,2973000,-165630000,-36413000,-5640000,-317056000,0,-327274000,134828000,462102000,178596000,-39231000,139365000,,
2020-12-31,TKO,USD,0001973266,2020-12-31,2020-12-30 19:00:00,2020,FY,131770999,86188000,-3015000,0,42171000,70037000,-1287000,5088000,-31667000,62759000,319874000,-27662000,0,-154493000,194031000,0,11876000,85606000,2630000,0,-37249000,-11082000,39905000,0,371655000,462102000,90447000,319874000,-27662000,292212000,,
2019-12-31,TKO,USD,0001973266,2019-12-31,2019-12-29 19:00:00,2019,FY,77061000,83280000,9921000,0,-95349000,-41486000,-499000,-31954000,-21410000,46071000,120984000,-69086000,0,-125648000,157487000,1438000,-35809000,-13455000,2325000,-83441000,-37431000,-30183000,-162185000,0,-77010000,90447000,167457000,120984000,-69086000,51898000,,
2018-12-31,TKO,USD,0001973266,2018-12-31,2018-12-29 19:00:00,2018,FY,99588000,70155000,-1058000,0,-25789000,-3527000,579000,26750000,-49591000,160331000,186719000,-32275000,0,-96240000,61428000,1000000,-66087000,-4782000,1948000,0,-37243000,-50798000,-90875000,0,29757000,167457000,137700000,186719000,-32275000,154444000,,
2017-12-31,TKO,USD,0001973266,2017-12-31,2017-12-29 19:00:00,2017,FY,32640000,65072000,13572000,0,-49361000,-12507000,-1801000,8112000,-43165000,171005000,96588000,-24710000,0,-144689000,35660000,0,-133739000,5855000,3038000,0,-36854000,-9164000,-37125000,0,-74276000,137700000,211976000,96588000,-24710000,71878000,,
2016-12-31,TKO,USD,0001973266,2016-12-31,2016-12-29 19:00:00,2016,FY,33841000,62015000,12153000,0,-68510000,5459000,-364000,-6585000,-67020000,142642000,56621000,-29904000,0,-2250000,8065000,0,-24089000,156239000,20857000,0,-36564000,893000,141425000,0,173957000,211976000,38019000,56621000,-29904000,26717000,,
2015-12-31,TKO,USD,0001973266,2015-12-31,2015-12-29 19:00:00,2015,FY,24144000,60622000,-9674000,0,-49974000,-19147000,-1432000,0,-29395000,166259000,49554000,-20010000,0,-22834000,24125000,0,-18719000,-4345000,1066000,0,-36345000,-419000,-40043000,0,-9208000,38019000,47227000,49554000,-20010000,29544000,,
