symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
TROW,2024-12-31,113.09,222800000,25196452000,2649800000,278700000,22825352000
TROW,2023-12-31,107.69,224100000,24133329000,2066600000,308500000,22375229000
TROW,2022-12-31,109.06,226000000,24647560000,1755600000,329600000,23221560000
TROW,2021-12-31,196.64,226600000,44558624000,1523100000,249200000,43284724000
TROW,2020-12-31,151.39,228800000,34638032000,2151700000,154100000,32640432000
TROW,2019-12-31,121.84,235400000,28681136000,1781800000,146300000,27045636000
TROW,2018-12-31,92.32,242200000,22359904000,1425200000,0,20934704000
TROW,2017-12-31,104.93,241200000,25309116000,1902700000,303900000,23710316000
TROW,2016-12-31,75.26,245500000,18476330000,1204900000,357600000,17629030000
TROW,2015-12-31,71.49,254600000,18201354000,1172300000,0,17029054000
TROW,2014-12-31,85.86,259600000,22289256000,1506100000,0,20783156000
TROW,2013-12-31,83.77,258300000,21637791000,1398000000,0,20239791000
TROW,2012-12-31,65.12,253400000,16501408000,879100000,0,15622308000
TROW,2011-12-31,56.95,255600000,14556420000,897900000,0,13658520000
TROW,2010-12-31,64.54,257200000,16599688000,813100000,0,15786588000
TROW,2009-12-31,53.25,255900000,13626675000,743300000,0,12883375000
TROW,2008-12-31,35.44,259300000,9189592000,619100000,0,8570492000
TROW,2007-12-31,60.88,264800000,16121024000,785100000,0,15335924000
TROW,2006-12-31,43.77,263800000,11546526000,773000000,0,10773526000
TROW,2005-12-31,36.02,260531999,9384362603,803589000,0,8580773603
TROW,2004-12-31,31.1,254838000,7925461800,499750000,0,7425711800
TROW,2003-12-31,23.71,246739130,5850184772,236533000,0,5613651772
TROW,2002-12-31,13.64,245569620,3349569616,111418000,55899000,3294050616
TROW,2001-12-31,17.36,246540881,4279949694,79741000,103889000,4304097694
TROW,2000-12-31,21.13,242342342,5120693686,80526000,312277000,5352444686
TROW,1999-12-31,18.47,240607035,4444011936,0,17700000,4461711936
TROW,1998-12-31,17.13,238547945,4086326297,0,0,4086326297
TROW,1997-12-31,15.72,232903226,3661238712,0,0,3661238712
TROW,1996-12-31,10.88,229069767,2492279064,0,0,2492279064
TROW,1995-12-31,6.02,232307692,1398492305,0,0,1398492305
TROW,1994-12-31,3.75,230943396,866037735,0,13400000,879437735
TROW,1993-12-31,3.63,237073171,860575610,0,16700000,877275610
TROW,1992-12-31,2.84,238666667,677813334,0,13200000,691013334
TROW,1991-12-31,2.81,233846154,657107692,0,16000000,673107692
TROW,1990-12-31,1.5,232222222,348333333,0,22400000,370733333
TROW,1989-12-31,1.88,237600000,446688000,0,2600000,449288000
TROW,1988-12-31,1.08,231304348,249808695,0,3000000,252808695
TROW,1987-12-31,0.625,234117647,146323529,0,1600000,147923529
TROW,1986-12-31,0.95313,227692308,217020369,0,1700000,218720369
TROW,1985-12-31,0.80469,212500000,170996625,0,1900000,172896625
