date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,TSLA,USD,0001318605,2025-01-30,2025-01-29 20:42:33,2024,FY,16139000000,20424000000,36563000000,4418000000,12017000000,5362000000,58360000000,51507000000,244000000,1226000000,1470000000,0,6524000000,4215000000,63716000000,-6000000,122070000000,12474000000,3263000000,1367000000,4161000000,7556000000,28821000000,10360000000,3317000000,0,5892000000,19569000000,0,5745000000,48390000000,0,3000000,35209000000,-670000000,38371000000,72913000000,73680000000,122070000000,767000000,122070000000,20424000000,13623000000,-2516000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,16398000000,12696000000,29094000000,3508000000,13626000000,3388000000,49616000000,45123000000,253000000,362000000,615000000,0,6733000000,4532000000,57003000000,-1000000,106618000000,14431000000,3045000000,1204000000,3740000000,6328000000,28748000000,6528000000,3251000000,0,4482000000,14261000000,0,4916000000,43009000000,0,3000000,27882000000,-143000000,34892000000,62634000000,63609000000,106618000000,975000000,106618000000,12696000000,9573000000,-6825000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,16253000000,5932000000,22185000000,2952000000,12839000000,2941000000,40917000000,36635000000,194000000,399000000,593000000,657000000,328000000,3208000000,41421000000,0,82338000000,15255000000,1987000000,1235000000,2810000000,5422000000,26709000000,3761000000,2804000000,82000000,3084000000,9731000000,0,3703000000,36440000000,0,3000000,12885000000,-361000000,32177000000,44704000000,45898000000,82338000000,1194000000,82338000000,6589000000,5748000000,-10505000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,17576000000,131000000,17707000000,1913000000,5757000000,1723000000,27100000000,31176000000,200000000,1517000000,1717000000,522000000,0,1612000000,35027000000,4000000,62131000000,10025000000,1957000000,1122000000,2372000000,4229000000,19705000000,6916000000,2052000000,24000000,1851000000,10843000000,0,3531000000,30548000000,0,1000000,329000000,54000000,29805000000,30189000000,31583000000,62131000000,1394000000,62131000000,653000000,8873000000,-8703000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,19384000000,0,19384000000,1886000000,4101000000,1346000000,26717000000,23378000000,207000000,313000000,520000000,613000000,0,923000000,25434000000,-3000000,52148000000,6051000000,2418000000,777000000,2210000000,2792000000,14248000000,10861000000,1284000000,151000000,1925000000,14221000000,0,3008000000,28469000000,0,1000000,-5399000000,363000000,27260000000,22225000000,23679000000,52148000000,1454000000,52148000000,613000000,13279000000,-6105000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm
2019-12-31,TSLA,USD,0001318605,2020-02-13,2020-02-13 07:12:18,2019,FY,6268000000,0,6268000000,1324000000,3552000000,959000000,12103000000,20196000000,198000000,339000000,537000000,1000000,0,1469000000,22203000000,3000000,34309000000,3771000000,2013000000,611000000,1889000000,2383000000,10667000000,12590000000,1207000000,66000000,1669000000,15532000000,0,2802000000,26199000000,0,0,-6083000000,-36000000,12737000000,6618000000,8110000000,34309000000,1492000000,34309000000,1000000,14603000000,8335000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm
2018-12-31,TSLA,USD,0001318605,2019-02-19,2019-02-19 06:10:16,2018,FY,3686000000,0,3686000000,949000000,3113000000,559000000,8307000000,19693000000,68000000,282000000,350000000,12000000,0,1380000000,21435000000,-2000000,29740000000,3404451000,2712000000,348663000,1423000000,2104886000,9993000000,11116000000,990873000,127000,1327127000,13434000000,0,3195000000,23427000000,0,0,-5318000000,-8218000,10249218000,4923000000,6313000000,29740000000,1390000000,29740000000,12000000,13828000000,10142000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm
2017-12-31,TSLA,USD,0001318605,2018-02-23,2018-02-23 06:07:43,2017,FY,3367914000,0,3367914000,515381000,2263537000,423688000,6570520000,20491712000,60237000,361502000,421739000,5304000,0,1166193000,22084948000,-96000,28655372000,2390250000,978777000,185807000,1869172000,2250664000,7674670000,11152086000,1177799000,0,3018495000,15348380000,0,1815925000,23023050000,0,169000,-4974299000,33348000,9178024000,4237242000,5632322000,28655372000,1395080000,28655372000,5304000,12130863000,8762949000,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/tsla-10k_20171231.htm
2016-12-31,TSLA,USD,0001318605,2017-03-01,2017-03-01 16:54:21,2016,FY,3393216000,0,3393216000,499142000,2067454000,299984000,6259796000,15033337000,0,376145000,376145000,774467000,0,216751000,16400700000,3580000,22664076000,1860341000,1262993000,152897000,763126000,1787648000,5827005000,7538997000,851790000,-75576000,2618643000,10931946000,0,1537168000,16758951000,0,161000,-2997237000,-23740000,7773727000,4752911000,5905125000,22664076000,1152214000,22664076000,774467000,8801990000,5408774000,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/tsla-10k_20161231.htm
2015-12-31,TSLA,USD,0001318605,2016-02-24,2016-02-24 16:17:56,2015,FY,1196908000,0,1196908000,168965000,1277838000,138295000,2782006000,5186834000,0,12816000,12816000,0,0,78380000,5278030000,7903000,8067939000,916148000,627927000,101206000,707331000,458423000,2811035000,2269767000,446105000,0,1457328000,4173200000,0,201389000,6984235000,0,131000,-2322323000,-3556000,3409452000,1083704000,1083704000,8067939000,0,8067939000,0,2897694000,1700786000,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/0001564590-16-013195-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/tsla-10k_20151231.htm
