date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,UAL,2024,FY,0.4475074281941235,-0.3150060024009604,0.006046705587989992,0.13962065331928344,0.007046764894298526,-1,0.021420457618867312,0.06846714994625992,0,-0.015412844036697248,-0.005791505791505791,2.6408045977011496,0,-1,0.049090598095672504,0,0.04189637713771377,0.09335071707953065,-0.18695549799858724,0,0.09951534733441034,0.1330226364846871,0.05003828311489438,-0.080618684565717,-0.0024703557312252965,1.65993265993266,-0.0847962901623054,-0.03747125855926422,0,-0.006021366137908708,0,0.7958757504567998,4.032258064516129,0,0.3593951093951094,0.04189637713771377,-0.1964738418990551,-0.08454231198453958,-0.189596167008898
2023-12-31,UAL,2023,FY,-0.15461903432877477,-0.09926470588235294,-0.12343121725356403,0.05385896724042199,0.4075743913435528,-0.3111111111111111,-0.07832286369528367,0.14064741633408978,0,-0.013396089790007242,-0.005076142131979695,-0.7465404224326293,-1,5.133333333333334,0.11241014799154334,0,0.055613290180824844,0.12960235640648013,0.45894881484026107,0,0.149275900482733,-0.10135215986598062,0.11059423769507803,-0.030760527525368595,0.016574585635359115,-0.2962085308056872,0.08324363114459993,-0.022065727699530517,0,0.021798815785121235,0,2.0284584980237153,-1.3542857142857143,0,0.35208816705336426,0.055613290180824844,-0.18293945956124658,0.008398978947657343,0.04831380052618991
2022-12-31,UAL,2022,FY,-0.6080511950992725,74.1869918699187,-0.10822557861566881,0.08298256163559832,0.12817904374364192,0.21621621621621623,-0.08134102775487771,0.04406438083825812,0,-0.014627185158758473,-0.005593451568894952,-0.03309859154929577,-0.8619119878603946,-0.014084507042253521,0.020694417470490493,0,-0.011983865053171984,0.3251366120218579,-0.030313124583610927,0,-0.6866053764692192,4.994978479196557,0.09222027972027973,-0.06844306841013142,-0.015087806084590651,0,-0.4499703966844287,-0.09749788145042594,0,-0.04250467171317265,0,1.024,1.1857749469214438,0,0.37124676874130047,-0.011983865053171984,5.883344134802333,-0.07450591881318905,0.38818005027747476
2021-12-31,UAL,2021,FY,0.6224154760848345,-0.7028985507246377,0.5754515107421039,0.28416988416988415,0.05472103004291846,-0.8549019607843137,0.47527027027027025,0.019887231619587258,0,-0.01233262861169838,-0.0047522063815342835,0.42,4.030534351145038,-0.14457831325301204,0.03559935639581657,0,0.1448747229126083,0.606269592476489,0.5709052851909995,0,0.4967775648841665,0.925414364640884,0.43842829076620826,0.2224593332259623,-0.20209196763370832,0,-0.11878260869565217,0.09737415265643737,0,0.17836082705083228,0,-0.761995430312262,0.17295873573309922,0,-0.15620805369127516,0.1448747229126083,0.09123055162659123,0.2019785655399835,-0.018573689600595848
2020-12-31,UAL,2020,FY,3.0800144822592324,-0.8102658111824015,1.3630663430420713,-0.050586510263929615,-0.13059701492537312,0,0.8061996582865512,0.030777599633531837,0.0008843687817820031,-0.05682951146560319,-0.02217206585236325,-0.15254237288135594,-0.8047690014903129,0.9153846153846154,0.007452101672782943,0,0.13185455513105623,-0.4099149093599704,0.3582089552238806,0,-0.20911971345915414,0.2791519434628975,-0.14814566876422547,0.8893875998478509,0.7866713681241185,-1,0.7643448910708807,0.5631168235024099,0,0.3044790652385589,0.3333333333333333,-0.7297241663235899,-0.5863509749303621,0,-0.4831324256352441,0.13185455513105623,-0.5794170136823319,0.6015158924205379,0.21449570330167345
2019-12-31,UAL,2019,FY,0.6304604486422668,-0.03280141843971631,0.25164556962025314,-0.043478260869565216,0.0883248730964467,0,0.15506061460389062,0.06940999969382444,0,-0.04748338081671415,-0.019526165061181985,0.22153209109730848,0,-0.7906602254428341,0.05931314094920105,0,0.07316824412532637,0.14388489208633093,0.14390243902439023,0,2.1754155730533684,-0.8852857721929469,0.07941325240263025,0.07613589848546869,0.04303052592865024,1.1326781326781328,-0.16328626444159178,0.03973272879131368,0,0.05381971166179262,0,0.44690990320178703,0.10585305105853052,0,0.14827723561043618,0.07316824412532637,0.043451272501551834,0.03350684793045939,-0.022384347537721772
2018-12-31,UAL,2018,FY,0.14304993252361672,-0.025906735751295335,0.040021063717746184,0.06417910447761194,0.06601731601731602,0,-0.005467545212393102,0.24622252747252749,0,-0.10737496467928793,-0.04713470602828082,0.19851116625310175,0,3.5328467153284673,0.19075341493198536,0,0.1577008454163321,0.07604735883424409,-0.21405750798722045,0,0.04288321167883212,0.09255978742249779,0.08430619760244457,0.04374946594890199,0.06003898635477583,2.617777777777778,-0.2733208955223881,0.20595712024557533,0,0.15976436986790432,0,0.4761486040888107,0.2999128160418483,0,0.14975956033890542,0.1577008454163321,0.032030749519538756,0.3748610339077265,0.40147172734314485
2017-12-31,UAL,2017,FY,-0.31987150068838915,0.029791018230324588,-0.14227642276422764,0.13945578231292516,0.058419243986254296,0,-0.024079901491312082,0.12393858821511279,0,-0.025605726872246697,-0.011404046597179644,0.3920552677029361,-1,0.10483870967741936,0.07255337942797965,0,0.054957648231190835,0.02664796633941094,0.8433451118963486,0,0.026697892271662763,-0.04725738396624472,0.03882467849584893,0.17997580157289775,-0.19288860918816866,0,0.015728633693386392,0.08616827298775723,0,0.06769162351894793,0,0.3274000583600817,-0.3835946924004825,0,0.008661508257304539,0.054957648231190835,0.10396039603960396,0.22956001708671508,0.3552382951921058
2016-12-31,UAL,2016,FY,-0.2751164337990685,0.026940639269406392,-0.14780600461893764,0.0425531914893617,0.18292682926829268,-1,-0.06630045988758304,0.08053753475440223,0,-0.1218568665377176,-0.0582053354890865,0,-0.6784486990672558,-0.8361955085865258,-0.006115097024187934,0,-0.017645187342453683,0.14446227929373998,-0.30637254901960786,0,0.008502598016060462,0.004450095359186269,-0.01031093926212341,0.02532823322650677,-0.17153284671532848,0,0.006101048617731172,-0.014680971202710334,0,-0.012980090923342217,-0.25,-0.008678044547295342,0.0024067388688327317,0,-0.03424046397501673,-0.017645187342453683,0.291324200913242,-0.0045922272302066506,0.08831257854449903
2015-12-31,UAL,2015,FY,0.5014985014985015,-0.08060453400503778,0.1852189781021898,-0.015706806282722512,0.10810810810810811,-0.9549393414211439,0.03723333775009938,0.1085426619407202,0,-0.03454715219421102,-0.016804814352219824,0,0,-0.19553666312433582,0.13068629128872156,1,0.11657330236371088,-0.006907545164718385,-0.06778370144706779,0,0.028668610301263362,-0.11413553594893937,-0.007515190278221938,-0.044264400750913944,0.33240708579367834,-1,-0.280225058323041,-0.1322107888992828,1,-0.06737039094710372,0,1.8902910121040433,0.22984244670991658,0,2.7420701168614356,0.11657330236371088,-0.08060453400503778,-0.029385059843169626,-0.13448037179867497
