symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
UDR,2029-12-31,1860428841,1931560720,1891389000,1307322834,1357307186,1329078529,463591353,481316366,471306167,0,0,0,82021549,85157572,83386504,0,0,0,1,0
UDR,2028-12-31,1885988916,1905087749,1895538333,1325283892,1338704637,1331994265,469960546,474719693,472340120,239086513,251030110,245058311.5,83148428,83990446,83569437,0.74,0.76043,0.72425,2,1
UDR,2027-12-31,1819699246,1820268635,1819983941,1278702159,1279102268,1278902214,453442141,453584024,453513082,143267043,311672420,208870650,80225886,80250989,80238437,0.67065,0.94413,0.43399,7,7
UDR,2026-12-31,1721628636,1781685449,1751657043,1209787968,1251989874,1230888922,429004395,443969665,436487030,195342842,199188693,197265767.5,75902203,78549955,77226079,0.5964,0.60339,0.59174,10,7
UDR,2025-12-31,1676207768,1714126358,1704102228,1177870737,1204516120,1197472166,417686186,427134938,424637073,193583324,195897437,194740380.5,73899713,75571447,75129509,0.59108,0.59342,0.58641,9,8
UDR,2024-12-31,1654726829,1700051969,1664695063,1162776087,1194626050,1169780762,412333454,423627809,414817391,107007101,112351679,109679390,72952674,74950943,73392148,0.3312,0.34034,0.32415,9,5
UDR,2023-12-31,1647658637,1710655432,1675078000,1157809270,1202077101,1177076849,410572165,426270035,417404665,130683021,137212715,132991999,72641055,75418423,73849905,0.40448,0.41565,0.39587,5,1
UDR,2022-12-30,1491968238,1544917940,1511834893,758362426,1137543639,947953033,195291573,292937359,244114466,136591893,204887839,170739866,79552799,119329199,99440999,0.23227,0.23888,0.2283,6,7
UDR,2021-12-30,1258676646,1303346869,1275436852,884471732,915861486,896249124,316469600,474704400,395587000,124234240,186351360,155292800,106418960,159628440,133023700,0.18409,0.18933,0.18095,6,6
UDR,2020-12-30,1223487133,1266908485,1239778764,859744071,890256243,871192196,336865751,505298627,421082189,-120821959,-22107538,-71464749,165134995,247702493,206418744,0.20999,0.21596,0.2064,11,6
UDR,2019-12-30,1118044652,1157723868,1132932239,785649669,813532243,796111172,321679440,482519160,402099300,497613540,746420310,622016925,147221760,220832640,184027200,0.35261,0.36264,0.34659,6,7
UDR,2018-12-30,1020072978,1056275196,1033656000,716805000,742244289,726349786,421036751,631555127,526295939,348837541,523256311,436046926,98721866,148082799,123402333,0.52237,0.53723,0.51345,7,6
UDR,2017-12-30,973131965,1007668254,986089933,513363173,770044760,641703967,140941507,211412261,176176884,80282480,120423720,100353101,57418788,86128182,71773485,0.24779,0.25484,0.24356,7,6
UDR,2016-12-30,939591857,972937814,952103214,660250939,683683134,669042666,331038056,496557084,413797570,1200059328,1800088992,1500074160,138794104,208191156,173492630,0.28146,0.28947,0.27665,6,7
UDR,2015-12-30,852654746,882915319,864008471,599160255,620424351,607138514,306900344,460350516,383625430,784026440,1176039660,980033050,163688944,245533416,204611180,0.69704,0.71687,0.68513,7,6
UDR,2014-12-30,200443129,300664694,250553912,140851331,211276997,176064165,49947463,74921195,62434329,426615982,639923974,533269979,175759796,263639694,219699746,0.31,0.37,0.25,8,8
UDR,2013-12-30,546622857,819934285,683278571,384111731,576167596,480139663,283723720,425585580,354654650,254885200,382689600,318787400,179707280,269560920,224634100,-0.21,-0.17,-0.25,7,7
UDR,2012-12-30,455308615,682962923,569135769,319945238,479917858,399931548,-181253560,-120835706,-151044633,490930382,754651573,622790978,145512995,218269493,181891244,-0.51,-0.4,-0.62,11,11
UDR,2011-12-30,434796974,652195461,543496218,305531713,458297570,381914642,-344410015,-229606676,-287008346,188688268,319556779,254122524,91151907,136727861,113939884,-0.65,-0.52,-0.78,17,17
UDR,2010-12-30,432594008,648891013,540742511,261882484,392823727,327353106,-117233126,-78155418,-97694273,-112898102,-75265401,-94081752,31258054,46887081,39072568,-0.62,-0.49,-0.75,7,7
UDR,2009-12-30,648873294,973309941,811091618,348640408,522960613,435800511,-123996656,-82664437,-103330547,-160150741,-106767161,-133458951,40721390,61082083,50901737,-0.495,-0.4,-0.59,9,9
UDR,2008-12-30,13584756049,20377134074,16980945062,9546004337,14319006507,11932505422,-2220959014,-1480639343,-1850799179,72561990795,108862266692,90712128744,1012612331,1518918496,1265765414,-5.74,-4.6,-6.88,9,9
UDR,2007-12-30,1645568770,2468353154,2056960962,1156340721,1734511082,1445425902,-157506131,-105004088,-131255110,662747087,994120631,828433859,87875248,131812870,109844060,-0.005,0.03,-0.04,8,8
UDR,2005-12-30,1025335952,1538003928,1281669940,792019904,1188029856,990024880,26749797,40124695,33437246,242324266,363486399,302905333,36493898,54740847,45617373,0.26,0.31,0.21,13,13
