symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
VLTO,2026-01-01,8,9,0,0,2
VLTO,2025-12-01,9,9,0,0,2
VLTO,2025-11-01,9,8,0,0,2
VLTO,2025-10-01,9,8,0,0,2
VLTO,2025-09-01,9,8,0,0,2
VLTO,2025-08-01,9,8,0,0,1
VLTO,2025-07-01,9,9,0,0,2
VLTO,2025-06-01,7,9,0,0,3
VLTO,2025-05-01,6,8,0,0,3
VLTO,2025-04-01,5,8,0,0,3
VLTO,2025-03-01,5,8,0,0,3
VLTO,2025-02-01,5,8,0,0,3
VLTO,2025-01-01,5,8,0,0,3
VLTO,2024-12-01,5,8,0,0,3
VLTO,2024-11-01,5,9,0,0,3
VLTO,2024-10-01,5,9,0,0,3
VLTO,2024-09-01,5,9,0,0,3
VLTO,2024-08-01,5,9,0,0,3
VLTO,2024-07-01,5,8,0,0,2
VLTO,2024-06-01,5,8,0,0,2
VLTO,2024-05-01,0,0,0,0,0
VLTO,2024-04-01,0,0,0,0,0
VLTO,2024-03-01,0,0,0,0,0
VLTO,2024-02-01,0,0,0,0,0
VLTO,2024-01-01,0,0,0,0,0
VLTO,2023-12-01,0,0,0,0,0
VLTO,2023-11-01,0,0,0,0,0
VLTO,2023-10-01,0,0,0,0,0
VLTO,2023-09-01,0,0,0,0,0
VLTO,2023-08-01,0,0,0,0,0
VLTO,2023-07-01,0,0,0,0,0
