symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
XYZ,2028-12-31,32644623619,33415214398,33029919009,1232794720,1261895385,1247345052,695724613,712147500,703936056,2709659529,3979403951,3156306700,5774364096,5910670514,5842517305,5.26932,6.25309,4.25786,5,5
XYZ,2027-12-31,29532588998,29731584899,29632086949,1115271544,1122786444,1119028994,629400702,633641718,631521210,2053089601,3342759394,2492966140,5223889960,5259089471,5241489715,4.22694,5.25269,3.22615,26,19
XYZ,2026-12-31,25984202276,28389038201,26882273784,981269925,1072086381,1015184784,553777224,605029264,572916990,1873067598,2954612404,2413840001,4596231417,5021612282,4755087342,3.20911,4.64277,2.94327,27,25
XYZ,2025-12-31,24164853480,25025738898,24335028505,912563861,945074421,918990367,515003129,533350383,518629912,1480338600,1738611118,1568915090,4274414799,4426693040,4304516312,2.39544,2.73199,2.32615,27,24
XYZ,2024-12-31,24026978715,24781911016,24449740804,907357145,935866482,923322374,512064732,528153905,521074669,2067395648,2359034094,2213214871,4250026738,4383563397,4324807267,3.55414,3.7069,3.24863,22,24
XYZ,2023-12-31,20941847408,23704355490,21853253015,790849948,895173571,825268358,446314188,505188962,465738131,1167883838,1370809517,1234832066,3704311411,4192959332,3865525946,1.94037,2.15404,1.83517,11,22
XYZ,2022-12-30,16654191801,18982960494,17497036075,628930508,716874354,660759760,354935357,404566246,372898116,661412855,783497913,705597413,2945886842,3357812508,3094973864,1.10875,1.23116,1.03932,18,12
XYZ,2021-12-30,16800097965,19149268831,17650326336,634440522,723154838,666548629,358044920,408110621,376165049,992106555,1175234142,1058386574,2971695542,3387230059,3122088705,1.66311,1.84672,1.55896,11,14
XYZ,2020-12-30,8989178690,10246142592,9444107868,339468212,386936318,356648202,191578035,218366542,201273519,451066868,534325772,481199935,1590056337,1812395161,1670526762,0.75614,0.83962,0.70879,17,22
XYZ,2019-12-30,2124637403,2421727116,2232162193,80235012,91454336,84295588,45280428,51612025,47572004,465468374,551381024,496562389,375817778,428368673,394837366,0.78028,0.86642,0.73142,10,12
XYZ,2018-12-30,1499875127,1709603842,1575781613,56641429,64561644,59507969,31965448,36435202,33583173,276956928,328078137,295456785,265306323,302404315,278733088,0.46427,0.51553,0.4352,15,14
XYZ,2017-12-30,921076592,1049871454,967690931,34783625,39647447,36543973,19630051,22374937,20623500,152116301,180193828,162279450,162925192,185707150,171170598,0.255,0.28315,0.23903,11,22
XYZ,2016-12-30,649596259,740429813,682471375,24531415,27961663,25772914,13844243,15780094,14544880,-392238977,-331120081,-353240997,114904229,130971377,120719364,-0.55507,-0.52031,-0.61635,12,12
